Macho_id Sigma_B Sigma_B_comp Eta_B Eta_B_comp stetson_L_B stetson_L_B_comp CuSum_B CuSum_B_comp B-R B-R_comp stetson_J stetson_J_comp stetson_K stetson_K_comp skew skew_comp kurt kurt_comp std std_comp beyond1_std beyond1_std_comp max_slope max_slope_comp amplitude amplitude_comp med_abs_dev med_abs_dev_comp class
1.3567.1310 -0.0146791554499 0.348406465898 0.530558972213 0.508379479222 3.37921939353 0.334912088288 0.403548561594 0.469004296457 -0.341147826087 0.504774588752 3.3804338843 0.340065445676 0.797713301999 0.759270127887 -0.132148541824 0.628482303054 1.4252273664e+15 0.689490536061 0.0913283760374 0.346210483184 0.39347826087 0.450481802717 3.78976762776 0.677466322696 0.566 0.543710021322 0.077 0.271825396825 2
1.4176.155 -0.00699479677312 0.535299245234 0.925939123674 0.375404561278 1.38995757655 0.27009664291 0.295805672319 0.327002664685 -0.322263636364 0.740875732894 1.51140655841 0.286048996167 0.733876758652 0.422020109108 1.61286164324 0.334799076304 7.57843170037e+16 0.310890856856 0.050345796946 0.548498686445 0.284090909091 0.37538504175 6.36223704742 1.0 0.565 0.775 0.03 0.442857142857 2
1.4410.291 -0.0110325499568 0.766002790989 1.67937673374 0.461730098666 1.15513012309 0.526135767485 0.194300254416 0.429312622794 -0.324614285714 0.656250880644 1.30034212618 0.538653776515 0.708885622994 0.678217252527 4.06091665214 0.463822970458 7.19885155388e+16 0.171927895459 0.0707678714103 0.76479642896 0.164285714286 0.327137071084 4.20968226858 1.0 1.258 0.947368421053 0.031 0.677944862155 2
1.4413.373 -0.0246914083931 0.7666384474 2.00183887756 0.60656492361 0.487909056383 0.730306779364 0.139266449624 0.646917731448 -0.38226744186 0.769424481293 1.51825765536 0.711624849637 0.256446213604 0.815433895814 -6.47441239141 0.532744181782 4.37486950996e+15 0.157519235563 0.159278590778 0.768603328779 0.0302325581395 0.804010833307 54.7854127242 0.285142583578 3.017 0.914928659351 0.037 0.650793650794 2
1.4530.136 -0.00943084500067 0.385526739048 0.437506862457 0.495367387299 1.93251459917 0.26035884189 0.398473775332 0.459645400267 -0.0471214285714 0.636037425113 2.05612338784 0.287705734676 0.75002631615 0.696233300218 -0.31791177068 0.69303639198 9.3949248862e+15 0.592601295025 0.0633559676266 0.386956403413 0.364285714286 0.529461206708 7.45282629372 0.605263157895 0.565 0.460461498574 0.051 0.326964671954 2
1.4538.531 -0.0126901775861 0.615573741162 1.25271711591 0.440835931784 0.867322825303 0.222108714267 0.262419137098 0.424810744217 -0.304947368421 0.563446800643 0.991310584528 0.229498833201 0.698190481766 0.628982369074 0.557685393232 0.444105391874 1.61613000837e+14 0.360989943223 0.0775898162638 0.608626402068 0.263157894737 0.500881014406 3.1526797798 2.22044604925e-16 0.513 0.629903978052 0.0445 0.365079365079 2
1.4653.105 -0.0047465674887 0.670976289466 0.956699681783 0.704424945853 1.57120944281 0.575822273047 0.338824132632 0.484204214016 -0.39238 0.496001762458 1.68769955592 0.545141573902 0.742919633393 0.547286491981 0.0296823662269 0.667230325838 7.9887122028e+16 0.271862820214 0.035621480649 0.668515504638 0.315555555556 0.757129319743 5.63266948473 1.0 0.247 0.49489506523 0.0255 0.7128245476 2
1.4659.335 -0.00457050627607 0.282469036363 1.54729770407 0.664233873744 0.532954205244 0.608734850822 0.241140259094 0.595460761025 -0.324465 0.543674287457 0.536821855935 0.612233549402 0.79225063414 0.581349266732 2.40032729567 0.0817863955181 3.03983039852e+16 0.0966463484629 0.0316475566074 0.281008063291 0.245 0.302051354349 2.74614869302 0.483109270826 0.306 0.08716367713 0.0185 0.359375 2
10.4279.1493 -0.00430505737437 0.36332570765 0.58320161028 0.493817578295 1.62574579281 0.461071722432 0.337375436786 0.553529735954 -0.19806875 0.451657242044 1.77617386494 0.386725153046 0.730415624435 0.634269152375 0.00456503677644 0.721674065475 1.9750095698e+16 0.436433003097 0.0357613178639 0.367053295431 0.303125 0.538015373735 0.559841710509 0.788485657552 0.221 0.857142857143 0.0235 0.35119047619 2
11.8751.968 -0.0322190719055 0.503211579031 1.06846505035 0.618647260038 0.510017364014 0.517850997133 0.250529142708 0.509902786029 0.362946341463 0.761031607927 0.539540277752 0.503675724027 0.754334520082 0.823403972926 -0.0289592092065 0.614574175623 2.73750868957e+14 0.255746549162 0.163243428626 0.512257943761 0.268292682927 0.805390836161 22.3335420948 0.891891891892 1.517 0.442396460064 0.083 0.493243243243 2
11.9358.200 -0.0108629507682 0.724130640783 1.29235061889 0.567282687758 0.757555731477 0.747663944309 0.243688195265 0.437752828085 0.03962 0.797459346824 0.909710429528 0.718522503827 0.664529562481 0.613537002095 0.778540950932 0.740982388743 9.53003475135e+15 0.20085791993 0.0661193323392 0.721918144518 0.2425 0.768861228364 7.72281362157 0.888888888889 0.667 0.765517241379 0.0335 0.771241830065 2
11.9714.184 -0.0109877924711 0.808765520022 1.52282539205 0.831028792371 0.920596121778 0.818992998458 0.209891533665 0.719571602299 0.128926190476 0.535510669023 0.934736869325 0.815070706481 0.785927814861 0.790696100051 -0.020336126622 0.587531473752 1.45679819127e+16 0.199481095748 0.0628583614563 0.802160084725 0.216666666667 0.658051098904 26.1807519053 0.303255066163 0.655 0.527327935223 0.037 0.738304093567 2
11.9720.68 -0.00843965732506 0.337231011436 0.460355598885 0.340365180915 6.72330441425 0.199068717214 0.414750399394 0.339382439172 -0.0621473684211 0.590144816627 6.36109232374 0.21698174327 0.843439561873 0.307737899136 0.891616887158 0.753238368015 2.58459118909e+14 0.781028004271 0.0641793741284 0.338443689571 0.289473684211 0.359461059094 5.41359895889 1.0 0.397 0.41746031746 0.0265 0.228888888889 2
12.10561.1161 -0.00908290012132 0.720716879388 1.45838339967 0.358698367205 0.944671798078 0.298445877591 0.229230499444 0.37518382685 -0.120338235294 0.569949597705 0.990704172925 0.305834626265 0.76092148945 0.559153206625 -1.34061472838 0.598109256485 1.39993336989e+16 0.299022445107 0.0572605525169 0.715655397998 0.202941176471 0.818890202741 8.71443468047 0.49996339755 0.587 0.893915343915 0.028 0.543859649123 2
12.10684.267 -0.0114176551306 0.636348391452 1.94682399807 0.827310382475 0.216188290693 0.683048419451 0.113409530826 0.790186612534 -0.145563636364 0.437740407752 0.26472589645 0.627294893732 0.651686360445 0.680832435951 1.74419492559 0.780714443578 5.67815718877e+15 0.155505444468 0.067003817155 0.638786447217 0.193939393939 0.820037026685 6.0330701634 0.748375146157 0.613 0.7030651341 0.029 0.636604774536 2
12.10926.76 -0.00456099038011 0.549208365358 0.952215225483 0.539616498341 1.436890586 0.54417889398 0.281360600995 0.703932548674 -0.0662818181818 0.681681683789 1.46528346716 0.541383472688 0.78253710857 0.722879207389 -0.954092630532 0.49074003062 9.34154833052e+16 0.271524701934 0.0325497704501 0.550389523359 0.3 0.548965650279 16.3116341455 0.465597073517 0.312 0.446257359125 0.022 0.55772113943 2
