Amplitude,Beyond1Std,Con,MaxSlope,MedianAbsDev,MedianBRP,PairSlopeTrend,Rcs,Skew,SmallKurtosis,Std,StestonK,VariabilityIndex,meanvariance
2.04979,0.354,0.00402,173.14812,0.51074,0.398,0.16667,0.38929,0.62229,-0.7306,0.82781,0.85066,0.13704,26.71363
2.09362,0.35,0.00402,213.096,0.51115,0.424,-0.03333,0.39189,0.64855,-0.7219,0.84597,0.84713,0.14472,43.54441
2.1235,0.328,0.0,196.29931,0.45031,0.474,0.03333,0.37391,0.63884,-0.69261,0.83357,0.84789,0.12312,17.16096
1.81855,0.35,0.01205,165.30519,0.50536,0.344,-0.1,0.38216,0.66946,-0.71625,0.85072,0.8507,0.12945,20.1449
2.13689,0.35,0.01004,233.20802,0.52513,0.434,0.03333,0.376,0.68758,-0.596,0.85204,0.84566,0.15214,18.78679
2.26414,0.354,0.00602,268.51582,0.48301,0.474,-0.1,0.40541,0.66767,-0.61566,0.82826,0.85124,0.14157,100.02031
2.01351,0.328,0.01406,235.41004,0.47213,0.414,0.03333,0.38414,0.63191,-0.68347,0.86208,0.8446,0.14557,22.42832
2.28244,0.362,0.01406,276.56505,0.50106,0.46,0.1,0.397,0.68687,-0.56293,0.83743,0.84582,0.13547,45.54918
1.97594,0.336,0.01406,199.4869,0.47604,0.406,0.03333,0.3813,0.77106,-0.47119,0.83631,0.83978,0.11625,24.06497
1.7353,0.358,0.00402,137.0197,0.46566,0.374,0.16667,0.3776,0.68817,-0.73078,0.82109,0.847,0.10817,17.18628
2.0211,0.34,0.00803,210.88869,0.4599,0.442,-0.03333,0.36633,0.67459,-0.53006,0.83633,0.82834,0.15358,10.98436
2.10343,0.356,0.00602,239.92694,0.46462,0.448,-0.16667,0.39326,0.68923,-0.60587,0.84385,0.84752,0.15181,38.75079
2.16906,0.31,0.00402,208.32127,0.47969,0.458,-0.03333,0.37218,0.64058,-0.44279,0.84366,0.83377,0.14526,19.86632
2.05835,0.328,0.01606,209.30009,0.49544,0.434,-0.03333,0.38827,0.69535,-0.54426,0.86009,0.84977,0.15592,22.86037
2.15416,0.33,0.00803,240.78768,0.45659,0.468,-0.1,0.40054,0.70622,-0.46706,0.83486,0.83355,0.14675,82.80281
2.18383,0.334,0.00803,242.50195,0.4934,0.428,-0.03333,0.39628,0.67682,-0.55491,0.83406,0.83861,0.15891,71.62629
2.26561,0.328,0.01004,313.88887,0.44324,0.508,0.03333,0.36992,0.75216,-0.49081,0.83724,0.84397,0.15438,15.28082
1.75167,0.348,0.00803,189.61284,0.4636,0.386,-0.1,0.37843,0.67906,-0.76862,0.83163,0.85436,0.14907,20.0638
1.95704,0.308,0.00602,178.69593,0.47653,0.414,0.03333,0.38294,0.69132,-0.65003,0.81321,0.84227,0.1382,19.62601
1.97417,0.356,0.00201,204.24614,0.50313,0.392,0.03333,0.38509,0.65651,-0.70116,0.82872,0.85181,0.15781,26.14585
1.88976,0.334,0.00803,207.31386,0.47177,0.398,0.03333,0.37,0.71277,-0.6782,0.82129,0.84192,0.12927,18.72393
1.96776,0.346,0.01004,237.96511,0.49531,0.398,0.1,0.36391,0.68611,-0.61193,0.85684,0.84327,0.15874,17.62023
1.94857,0.346,0.00803,135.86625,0.46117,0.446,0.16667,0.38904,0.65882,-0.57729,0.80531,0.83756,0.13179,30.79478
1.89192,0.348,0.00201,159.97671,0.51352,0.35,-0.1,0.39963,0.6199,-0.77712,0.83677,0.84813,0.13756,43.41224
2.21001,0.35,0.00402,278.86268,0.51249,0.462,-0.03333,0.38312,0.67416,-0.56191,0.84733,0.83441,0.15622,36.27733
1.97792,0.352,0.01807,209.09124,0.50526,0.396,-0.1,0.39059,0.67746,-0.61749,0.84795,0.84637,0.13064,25.94563
1.87457,0.35,0.00803,154.08055,0.50522,0.368,-0.16667,0.38501,0.64024,-0.71887,0.83504,0.84734,0.13097,22.81077
1.92079,0.344,0.00201,239.56466,0.50563,0.4,0.1,0.39542,0.66866,-0.69658,0.84593,0.84456,0.14279,42.62717
1.95107,0.368,0.01406,185.55923,0.52884,0.374,0.03333,0.38778,0.62308,-0.68447,0.82798,0.84219,0.14708,34.70272
1.91732,0.32,0.00602,147.11836,0.49199,0.39,0.03333,0.37555,0.73701,-0.54851,0.83508,0.84562,0.15174,17.22082
2.04878,0.322,0.00201,232.42579,0.4859,0.422,-0.03333,0.38016,0.68064,-0.60012,0.83292,0.84587,0.16493,22.67293
2.13526,0.364,0.00803,217.82587,0.53676,0.386,0.03333,0.3645,0.62919,-0.57421,0.85275,0.83488,0.16969,15.84123
2.10594,0.34,0.00803,274.64667,0.48096,0.444,0.1,0.38478,0.71581,-0.57885,0.82951,0.83546,0.13704,29.34987
2.07902,0.33,0.01205,160.82317,0.51093,0.424,0.03333,0.37485,0.68452,-0.55702,0.87224,0.84752,0.1434,16.24723
2.33104,0.342,0.00602,267.27635,0.49877,0.474,-0.1,0.38401,0.72083,-0.44055,0.82706,0.83818,0.16096,27.48862
1.82796,0.364,0.0,209.70808,0.4996,0.366,-0.03333,0.40518,0.5404,-0.77731,0.8226,0.84418,0.1714,-560.26077
2.13039,0.336,0.01205,184.50296,0.49058,0.43,-0.03333,0.37353,0.66353,-0.5884,0.84085,0.84483,0.12574,15.8429
2.02759,0.346,0.00402,193.43275,0.47593,0.432,0.1,0.38488,0.59649,-0.75541,0.84331,0.84637,0.14533,26.73438
1.98867,0.364,0.01205,213.38485,0.54005,0.386,0.03333,0.37145,0.67374,-0.64771,0.84951,0.8404,0.14493,19.96498
2.04798,0.342,0.0,174.28352,0.46407,0.448,-0.1,0.38255,0.71531,-0.62761,0.8389,0.84098,0.15597,35.097
2.08673,0.36,0.01205,168.01231,0.46699,0.452,0.23333,0.37624,0.75067,-0.53488,0.82643,0.84533,0.13714,20.68894
1.97537,0.328,0.01606,217.99335,0.51021,0.402,0.1,0.37112,0.74993,-0.47252,0.84502,0.83739,0.13546,17.6975
1.8249,0.348,0.01606,196.31532,0.51813,0.378,0.03333,0.38058,0.62533,-0.73108,0.83564,0.85132,0.12946,20.70955
1.74518,0.376,0.00803,200.66501,0.51722,0.344,0.03333,0.37942,0.65038,-0.77428,0.83983,0.85516,0.13992,18.37264
2.15916,0.314,0.01004,247.51803,0.47255,0.44,0.03333,0.38199,0.66659,-0.54518,0.83346,0.84226,0.16413,34.17304
