,azul,roja,ambas
0,1249,1232,1216
2,1223,1193,1154
4,1206,1165,1107
6,1157,1167,1134
8,1158,1106,1087
10,1240,519,513
12,1190,1180,1170
14,1241,519,513
16,844,847,838
18,1126,1077,1066
20,1106,1073,1046
22,1136,1138,1121
24,1128,504,497
26,925,909,887
28,925,904,880
30,896,890,847
32,986,450,438
34,997,447,423
36,991,529,518
38,996,947,928
40,994,951,930
42,979,482,468
44,486,284,280
46,492,492,486
48,493,460,455
50,489,460,452
52,485,469,463
54,485,209,205
56,770,732,723
58,739,716,703
60,751,766,745
62,830,483,474
64,821,480,479
66,844,827,806
68,975,914,904
70,971,894,878
72,969,892,878
74,1034,717,709
76,1005,713,685
78,1030,1023,1008
80,1032,1002,983
82,1023,1010,984
84,1026,1010,986
86,1036,1001,989
88,1038,1021,1006
90,944,659,651
92,944,665,661
94,937,923,903
96,914,852,829
98,948,938,929
100,933,285,273
102,930,880,857
104,1052,729,721
106,1056,998,984
109,1056,1021,1006
111,1040,1022,996
113,1045,994,973
115,1053,939,927
117,1058,1027,1018
119,938,927,908
121,947,275,272
123,1045,1047,1030
125,883,864,853
127,877,881,866
129,617,573,560
131,590,609,583
133,423,398,387
135,429,401,395
137,429,260,260
139,432,263,263
141,431,263,263
143,430,400,398
145,425,321,318
147,431,412,407
149,323,128,121
151,391,384,375
153,428,382,378
155,1024,919,901
157,1019,1029,982
159,275,245,243
161,293,290,286
163,292,113,113
165,342,329,318
167,345,331,322
169,351,340,339
171,1060,474,469
173,295,171,168
175,303,270,265
177,295,120,119
179,328,350,300
181,380,356,352
183,370,367,358
185,273,267,262
187,284,275,269
189,1337,1277,1255
191,1311,1254,1231
193,1302,608,589
195,1329,611,601
197,1323,602,589
199,1636,1566,1549
201,1641,1636,1618
203,1619,1592,1546
205,1623,718,712
207,1609,732,722
209,1409,828,787
211,1480,1468,1432
213,1484,819,805
215,1544,1525,1513
217,1500,1451,1433
219,1502,1443,1427
221,1551,1506,1492
223,1439,1412,1357
225,1485,1459,1430
227,1476,1449,1421
229,962,965,951
231,946,948,927
233,961,946,928
235,971,927,919
237,960,916,908
239,936,912,885
241,927,955,916
243,959,934,915
245,933,912,904
247,1066,601,586
249,1092,629,623
251,1081,1025,1014
253,1052,1040,1009
255,1233,725,713
257,1227,707,696
259,1163,647,637
261,1231,725,709
263,1215,1204,1182
265,1212,1208,1187
267,1236,1190,1163
269,1163,364,350
271,1188,915,893
273,1220,705,694
275,1228,718,711
277,622,335,315
279,1140,569,558
281,1243,1244,1220
283,1240,1182,1164
285,1241,1188,1164
287,1245,1195,1173
289,1234,1188,1160
291,1225,1159,1139
293,1173,684,678
295,1124,651,643
297,1175,674,658
299,1242,1247,1222
301,1244,1188,1168
303,1246,1195,1174
305,1241,1185,1165
307,1244,1198,1178
309,1241,1189,1170
311,1234,1182,1153
313,1153,1084,1050
315,1226,1212,1172
317,1163,1156,1119
319,1093,1021,987
321,1217,1230,1195
323,1157,1171,1132
325,1205,1204,1155
327,1231,1184,1160
329,1236,1188,1165
331,1239,1191,1172
333,1215,1097,1045
335,1187,1179,1127
337,1203,1196,1143
339,1187,1180,1127
341,1227,1056,1015
343,1219,1164,1137
345,1164,1130,1103
347,1188,1147,1121
349,1213,1203,1149
351,1201,1197,1143
353,1155,1147,1121
355,1209,1204,1152
357,1175,1170,1119
359,1211,1188,1151
361,966,1037,828
363,1159,1162,1137
365,1242,1213,1184
367,1229,1198,1160
369,1182,1148,1094
371,1209,1217,1185
373,1187,1171,1125
375,1233,1214,1177
377,1212,1216,1187
379,1208,524,512
381,1168,1005,959
383,1231,598,575
385,1145,1169,1075
387,1222,1167,1147
389,1243,1243,1215
391,1197,1219,1180
393,1226,1250,1205
395,1226,1249,1204
397,1235,530,517
399,1211,1169,1144
401,1208,1214,1187
403,1139,1181,1115
405,1224,517,510
407,1243,519,513
409,1167,465,453
411,1109,516,497
413,1135,645,636
415,1115,1123,1099
417,1115,1056,1047
419,1127,1095,1076
421,1134,1102,1085
423,1100,1028,1004
425,1094,1084,1048
427,1135,1102,1084
429,1092,1062,1048
431,1038,1035,991
433,1104,1102,1061
435,756,589,532
437,1128,1103,1086
439,1105,1113,1092
441,1120,1126,1099
443,1093,1096,1075
445,1127,1089,1075
447,1102,1075,1063
449,969,1103,922
451,1127,1098,1080
453,1083,1055,1035
455,1068,1006,977
457,1149,1013,994
459,1233,716,704
461,1235,717,705
463,1224,707,692
465,1218,713,697
467,1235,722,709
469,1234,723,710
471,1233,721,707
473,1225,1210,1188
475,1240,1245,1221
477,1235,1185,1158
479,1235,1195,1174
481,1233,1174,1147
483,1232,1184,1157
485,1158,1067,1052
487,1231,712,705
489,1221,532,519
491,1205,697,689
493,1223,698,684
495,1216,720,696
497,552,159,153
499,1207,693,678
501,1242,1233,1215
503,1112,1137,1079
505,1188,1195,1163
507,1251,1240,1226
509,1189,1172,1145
511,1227,1227,1197
513,1246,1188,1170
515,1239,1185,1166
517,1240,1189,1164
519,1240,1186,1160
521,1230,722,715
523,1228,1207,1170
525,1221,702,687
527,1185,629,615
529,1195,685,675
531,827,576,554
533,1202,1207,1175
535,981,903,873
537,1084,1178,1060
539,1237,1181,1161
541,1188,1146,1123
543,1224,1188,1151
545,1151,1084,1049
547,1152,1081,1046
