Amplitude,Beyond1Std,Con,MaxSlope,MedianAbsDev,MedianBRP,PairSlopeTrend,Rcs,Skew,SmallKurtosis,Std,StetsonK,Eta_e,Meanvariance,class
1.55647,0.35333,0.0,39632.89305,0.65728,0.50333,-0.1,0.39556,0.30351,-0.02846,0.96488,0.8531,1271.00645,327.36077,Be_lc
1.65219,0.35,0.0,25786.42144,0.82983,0.30667,-0.1,0.3926,0.17911,-0.55475,0.98497,0.86316,659.92203,-51.59953,Be_lc
1.39401,0.11,0.0,11719.03942,0.42787,0.96667,0.1,0.18564,3.83439,49.29845,1.08343,0.57606,136.78499,-24.33817,Be_lc
0.94505,0.17,0.0,36696.53653,0.25523,0.91667,-0.1,0.16726,-1.24153,19.71077,0.61643,0.62997,2087.60393,33.00061,Be_lc
1.67102,0.33,0.0,19537.02572,0.76561,0.36333,0.03333,0.3698,-0.59743,-0.02582,0.98911,0.85407,426.07743,-44.92059,Be_lc
1.7097,0.21,0.0,34458.30143,0.50457,0.67,0.1,0.2963,0.34777,2.11898,0.90056,0.7538,1004.51188,-93.89657,Be_lc
1.85753,0.32667,0.0,32957.43057,0.63783,0.46,-0.1,0.32506,0.34029,0.11915,0.94955,0.80012,936.33433,27.43566,Be_lc
2.13538,0.20667,0.01342,21242.81365,0.49884,0.69667,-0.03333,0.30518,1.03272,3.36373,1.03482,0.71425,366.78551,15.09088,Be_lc
1.94907,0.29667,0.0,17242.41336,0.67331,0.48667,-0.1,0.33477,-0.0619,0.49047,1.01599,0.79628,469.97739,154.38037,Be_lc
1.724,0.18333,0.0,14875.88343,0.42334,0.86,0.03333,0.24615,1.92965,13.12597,0.95389,0.67581,152.50693,-277.67805,Be_lc
1.92772,0.18333,0.0,8270.7067,0.49887,0.79333,-0.23333,0.12782,0.86662,4.86424,1.01428,0.68768,77.81854,11.54456,Be_lc
1.73006,0.08333,0.0,18434.98421,0.44361,0.96,-0.03333,0.10144,1.24125,35.22182,1.24008,0.53264,178.13261,-116.21361,Be_lc
1.64707,0.35333,0.0,3520.38867,0.731,0.48667,-0.1,0.36756,0.28709,0.84292,1.00804,0.81509,30.04894,18.53417,Be_lc
1.04129,0.11667,0.0,2666.25444,0.25436,0.93333,0.1,0.21381,-0.59067,18.02212,0.5723,0.62824,29.32571,-12.05945,Be_lc
