Amplitude;Beyond1Std;Con;MaxSlope;MedianAbsDev;MedianBRP;PairSlopeTrend;Rcs;Skew;SmallKurtosis;Std;StestonK;VariabilityIndex;class;meanvariance
277.54;81.34;;263470.19;48.02;12.19;90.00;73.38;41.52;257.79;15.37;31.53;26.40;Be_lc;1790.74
102.35;60.00;;473681.93;21.10;75.57;103.33;62.09;130.31;183.76;2.23;14.39;54.86;Be_lc;7217.07
293.43;87.56;;4801068.81;56.96;23.30;90.00;90.21;38.09;400.37;10.75;36.32;86.64;Be_lc;6833.82
515.37;70.00;;155523.02;52.35;12.22;110.00;88.28;730.10;5279.75;29.08;47.62;102.52;Be_lc;1241.43
179.11;76.00;198.98;206914.28;58.38;40.43;103.33;65.28;209.40;66.85;7.96;19.83;24.14;Be_lc;4318.89
293.25;90.25;;181265.51;44.48;24.04;110.00;100.46;75.64;526.44;20.83;34.85;60.36;Be_lc;5370.45
112.32;70.00;97.96;273666.81;46.77;53.73;110.00;58.46;37.92;73.41;4.41;22.60;69.00;Be_lc;1507.40
114.11;72.23;;93611.40;35.08;66.00;103.33;58.79;308.57;115.16;7.86;18.92;50.23;Be_lc;1273.74
125.57;61.00;;8727.90;20.76;76.00;90.00;55.79;64.99;179.54;2.47;13.69;81.29;Be_lc;2460.22
212.21;83.76;;88036.46;71.06;27.14;96.67;74.84;151.08;257.57;12.35;32.36;63.01;Be_lc;462.93
225.32;88.52;;286988.91;51.22;34.44;116.67;74.43;46.84;207.56;9.97;28.14;40.80;Be_lc;2426.42
56.15;83.76;;33914.56;71.86;46.51;90.00;75.58;22.08;195.25;51.11;25.27;47.57;Be_lc;6723.95
124.60;62.50;;84440.81;23.46;73.33;43.33;74.25;56.75;156.80;11.17;16.36;20.60;Be_lc;1471.61
200.80;81.00;;109376.86;61.67;18.28;83.33;73.70;197.24;430.25;22.98;32.10;50.89;Be_lc;814.35
336.98;100.65;;88123.03;40.32;10.68;96.67;74.87;242.64;1320.22;0.87;38.45;62.90;Be_lc;1130.37
166.27;94.39;;95846.17;59.25;33.83;110.00;69.15;31.29;375.33;22.01;31.30;31.77;Be_lc;2824.81
432.35;94.69;;6047592.61;37.44;18.20;296.67;70.16;296.98;2598.69;25.16;39.96;33.70;Be_lc;642.97
238.54;72.65;;96042.91;39.04;44.00;90.00;71.91;127.71;175.13;0.14;21.66;19.21;Be_lc;1828.81
88.52;69.00;;21669.08;42.09;61.00;103.33;54.17;42.48;184.55;6.64;13.56;70.12;Be_lc;1068.25
258.96;81.35;;117705.83;55.11;32.88;110.00;72.01;57.30;191.51;3.42;28.19;2.25;Be_lc;5438.73
58.90;60.00;;157452.49;17.83;77.00;90.00;86.21;110.53;202.92;6.64;15.49;101.54;CEPH;4134.24
67.76;51.00;;215137.36;28.04;81.00;103.33;78.16;163.61;179.14;2.29;15.12;112.81;CEPH;527.18
73.98;53.00;;109571.88;18.01;75.00;116.67;86.33;126.72;220.08;0.23;12.26;118.67;CEPH;1118.68
69.20;52.00;;330072.40;11.04;80.00;123.33;89.03;128.79;220.35;2.74;12.78;113.81;CEPH;2261.25
63.66;51.00;;118680.02;13.18;86.00;90.00;87.28;132.84;233.07;6.14;11.06;126.35;CEPH;2820.43
63.24;63.00;;31218.12;7.20;74.00;96.67;92.28;130.29;219.99;4.54;12.75;107.14;CEPH;5554.45
66.79;42.21;;475535.15;43.64;80.17;96.67;84.01;153.86;216.70;0.33;10.40;115.91;CEPH;639.96
151.77;59.37;;7884220.93;26.09;50.00;96.67;81.25;38.61;346.95;0.37;20.28;87.60;CEPH;1043.21
65.24;54.00;;79105.05;10.22;79.00;76.67;84.05;121.55;225.13;3.62;12.70;79.10;CEPH;1439.63
53.02;58.00;;227062.15;13.66;81.00;96.67;91.24;80.71;228.02;5.96;11.23;120.36;CEPH;2016.76
60.86;66.00;;169360.89;8.29;83.00;103.33;92.35;108.06;231.16;1.46;11.50;98.89;CEPH;4630.85
98.09;58.00;;198822.35;7.79;71.00;96.67;79.38;121.18;203.55;2.51;15.09;139.19;CEPH;690.37
87.68;52.00;;501136.00;12.18;109.00;90.00;84.13;134.48;216.51;0.14;11.31;124.54;CEPH;3135.85
114.12;53.00;;165418.64;12.34;63.50;96.67;95.24;135.62;226.30;6.62;11.50;125.80;CEPH;4149.66
56.27;52.00;;241611.97;3.78;82.00;96.67;89.67;84.62;237.42;2.66;11.81;104.35;CEPH;1864.82
79.54;55.00;;172088.83;25.58;82.55;96.67;90.20;157.03;181.81;1.08;13.15;110.59;CEPH;5652.67
113.71;61.44;;244142.48;24.53;74.24;103.33;85.76;125.91;205.24;0.86;14.03;95.53;CEPH;1563.72
66.07;48.00;;127805.15;26.12;79.00;96.67;88.38;164.84;189.18;4.74;13.08;119.26;CEPH;1662.99
76.97;54.00;;197348.44;24.17;81.00;103.33;88.36;161.62;194.60;4.33;12.83;107.61;CEPH;6088.90
