Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Con,Eta_e,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC
-38.29982,263.979157,0.638057,0.731361,-8.470033,0.063501,0.966004,-0.066409,0.662358,0.76081,0.635528,0.00726,-0.164712,0.625921,0.566004,0.300181,1.236573,-0.073898,0.233333,2.0,0.383403,0.006779
-35.939437,307.578864,1.012155,0.724678,-11.731355,0.077496,0.995144,-0.037856,0.587426,0.770821,0.663769,0.00726,0.191975,0.637011,0.607595,0.280289,1.262852,-0.0543,0.1,3.0,0.392693,0.00949
-45.800693,257.131193,0.177381,0.757538,-66.451226,0.065301,0.966775,-0.011774,0.583143,0.78278,0.671429,0.001815,0.099629,0.626575,0.506329,0.309222,1.186957,-0.009429,-0.033333,2.0,0.396637,0.006779
-85.714646,300.967557,0.119145,0.74834,-42.424961,0.052096,0.426813,-0.015367,0.681537,0.847447,0.644279,0.00726,0.00295,0.629664,0.464738,0.305606,1.220886,-0.014842,-0.1,3.0,0.429764,0.006779
-12.949146,234.969194,0.033895,0.749393,-6.448983,0.064818,1.0,-0.038028,0.691967,0.784974,0.671338,0.00726,0.307751,0.604058,0.426763,0.296564,1.193942,-0.093667,-0.1,3.0,0.385531,0.006779
-89.345832,241.426709,1.29256,0.727593,-20.361956,0.107784,0.996761,-0.089137,0.676491,0.7126,0.649702,0.001815,0.17445,0.614168,0.620253,0.301989,1.206129,-0.030163,-0.033333,2.0,0.36178,0.008134
-40.719239,337.507798,0.836776,0.732044,-9.834181,0.083207,0.998269,-0.054627,0.667695,0.792063,0.668899,0.009074,-0.03349,0.603742,0.556962,0.265823,1.265478,-0.061392,0.166667,3.0,0.396772,0.006779
-126.321864,265.29124,0.55578,0.748379,-24.752409,0.060683,0.994403,-0.011554,0.615264,0.792688,0.648304,0.005445,-0.030562,0.641978,0.515371,0.278481,1.287524,-0.025936,0.033333,3.0,0.396377,0.00949
-33.965425,253.851438,-0.208322,0.77539,-14.771052,0.082997,0.985811,-0.076418,0.656133,0.900462,0.645147,0.001815,0.072802,0.615305,0.464738,0.330922,1.157596,-0.041656,-0.033333,2.0,0.438149,0.00949
-28.099818,256.409267,0.450783,0.760061,-10.235147,0.094243,0.991008,-0.084121,0.632427,0.759098,0.64224,0.009074,-0.058098,0.593988,0.509946,0.283906,1.232842,-0.058034,0.033333,3.0,0.368538,0.006779
-21.396754,290.004425,0.198823,0.750386,-7.354464,0.067098,0.978964,-0.057775,0.592175,0.782035,0.634042,0.012704,0.04598,0.631304,0.462929,0.300181,1.290853,-0.08584,-0.033333,2.0,0.392436,0.006779
-17.485093,208.272804,0.274143,0.738324,-6.073467,0.094986,0.850211,-0.0447,0.605811,0.787822,0.68386,0.00726,0.065892,0.615208,0.540687,0.327306,1.17885,-0.101294,0.3,2.0,0.401986,0.00949
-44.387897,241.412831,0.27677,0.765671,-12.611493,0.071736,0.440328,-0.059622,0.597957,0.869354,0.679167,0.0,0.069497,0.612193,0.488246,0.314647,1.164137,-0.048542,0.033333,2.0,0.438939,0.00949
-19.493019,258.391674,0.362976,0.755843,-7.842362,0.077362,0.999971,-0.029267,0.64061,0.722132,0.673473,0.010889,0.184715,0.608565,0.522604,0.292948,1.23067,-0.0776,0.033333,3.0,0.367266,0.006779
-19.381692,270.209154,-0.316535,0.789395,-14.169815,0.07303,1.0,-0.052676,0.670525,0.914036,0.666276,0.00363,0.106567,0.604726,0.421338,0.34358,1.126349,-0.042677,0.166667,2.0,0.438877,0.00949
-24.312425,254.157303,0.006042,0.760313,-8.338906,0.066044,0.571327,0.01225,0.683271,0.794135,0.655339,0.001815,-0.115575,0.595744,0.433996,0.314647,1.173251,-0.071442,0.433333,2.0,0.395167,0.006779
-47.84197,245.887163,0.254314,0.740825,-13.206882,0.088922,0.624133,-0.038877,0.561454,0.796112,0.665142,0.005445,-0.020098,0.629088,0.488246,0.294756,1.244015,-0.047633,-0.033333,3.0,0.403317,0.006779
-41.116808,317.016799,0.042304,0.758892,-51.232148,0.083354,0.964237,-0.035913,0.614299,0.846863,0.64277,0.00363,0.161375,0.650835,0.502712,0.296564,1.327859,-0.012704,0.033333,2.0,0.409915,0.006779
-34.003518,244.99979,-0.165725,0.74992,-12.119177,0.098095,0.692052,-0.010921,0.677418,0.821597,0.647914,0.00363,0.034919,0.587654,0.421338,0.311031,1.134668,-0.04849,0.1,2.0,0.413169,0.00949
-33.700599,249.534338,0.378475,0.756465,-14.265032,0.087203,0.967261,-0.022961,0.614699,0.750524,0.705137,0.009074,0.124521,0.613534,0.515371,0.312839,1.181633,-0.04301,0.3,3.0,0.377812,0.00949
-62.800324,292.188931,-0.126672,0.755218,-12.829142,0.081679,0.541122,-0.074473,0.627329,0.808438,0.639038,0.001815,0.161607,0.612569,0.439421,0.318264,1.197424,-0.047748,0.033333,2.0,0.414971,0.008134
1113.21924,271.204773,-0.193247,0.763059,-18.464796,0.095701,0.495748,-0.073928,0.697894,0.86249,0.705089,0.009074,-0.051651,0.613477,0.426763,0.318264,1.194204,-0.033224,0.166667,2.0,0.425985,0.006779
-54.786452,289.81686,0.278763,0.740916,-6.999772,0.080478,0.943545,-0.03971,0.634699,0.722534,0.641243,0.00726,-0.030191,0.566969,0.482821,0.289331,1.142709,-0.080998,0.1,2.0,0.363862,0.00949
-38.04626,272.263327,-0.116015,0.781516,-10.079785,0.06907,0.931567,-0.024001,0.692049,0.898256,0.660703,0.005445,-0.199188,0.63131,0.453888,0.336347,1.197756,-0.062631,0.033333,2.0,0.44314,0.006779
-28.088983,335.210032,-0.159344,0.755311,-10.764448,0.061349,0.431611,-0.022315,0.650103,0.864756,0.631179,0.00363,0.101805,0.626464,0.439421,0.327306,1.214867,-0.058197,-0.033333,3.0,0.433507,0.00949
-16.255518,265.371656,0.125274,0.772817,-7.122577,0.069445,0.921517,-0.045653,0.671006,0.86758,0.662804,0.005445,0.083734,0.637178,0.470163,0.338156,1.222979,-0.089459,0.1,2.0,0.439926,0.00949
-54.75644,254.093874,0.40739,0.75309,-26.114521,0.096252,0.34185,-0.090112,0.600157,0.808183,0.662595,0.00363,0.105862,0.625304,0.551537,0.307414,1.23556,-0.023945,-0.1,3.0,0.408197,0.006779
-37.157013,341.693558,0.327987,0.758298,-13.228413,0.069635,0.899258,-0.044688,0.689755,0.803423,0.650788,0.001815,0.057349,0.607588,0.471971,0.296564,1.205828,-0.045931,-0.033333,2.0,0.400949,0.006779
-15.069562,245.016026,-0.458261,0.7815,-6.920227,0.091857,0.999362,-0.064614,0.673244,0.938053,0.704574,0.001815,0.06429,0.634874,0.352622,0.338156,1.176407,-0.091742,0.1,3.0,0.45934,0.00949
-16.763954,324.130636,0.044628,0.760309,-7.585753,0.103502,0.93814,-0.096561,0.704269,0.783,0.672,0.0,-0.025151,0.598566,0.470163,0.300181,1.19804,-0.078907,0.3,3.0,0.386179,0.00949
-33.369963,260.922363,0.722124,0.727765,-7.590711,0.062081,0.996107,-0.03605,0.603915,0.76064,0.631746,0.00726,0.188144,0.603264,0.506329,0.278481,1.233394,-0.079474,0.3,2.0,0.392257,0.006779
-41.69555,275.641816,0.423764,0.780697,-18.845793,0.054154,0.97168,-0.024729,0.673741,0.838918,0.664682,0.00726,-0.018714,0.618665,0.528029,0.294756,1.256366,-0.032828,0.1,2.0,0.415806,0.00949
-25.546788,239.392274,0.230409,0.744338,-12.740371,0.081639,0.982695,-0.027821,0.63961,0.699905,0.652302,0.005445,0.194238,0.562093,0.484629,0.311031,1.1382,-0.044119,0.166667,2.0,0.358318,0.00949
-19.885262,284.061881,0.271208,0.754288,-6.959664,0.07711,0.903716,-0.047172,0.652955,0.733207,0.664548,0.009074,0.064002,0.595238,0.491863,0.301989,1.229249,-0.085527,0.366667,2.0,0.367116,0.006779
-72.966556,289.826763,0.162166,0.758357,-16.947772,0.058835,0.963283,0.001587,0.636338,0.781618,0.659918,0.00726,-0.015967,0.606754,0.502712,0.314647,1.211628,-0.035801,0.166667,2.0,0.391264,0.006779
-39.571762,264.055705,0.216526,0.750762,-9.954813,0.062926,0.254994,-0.050513,0.647508,0.769143,0.633508,0.005445,0.039205,0.601398,0.531646,0.300181,1.201755,-0.060413,-0.033333,3.0,0.389697,0.006779
-51.024859,263.185599,-0.231778,0.758603,-15.320035,0.069296,0.362828,-0.040652,0.695942,0.844853,0.667761,0.00726,0.028134,0.617983,0.455696,0.338156,1.211644,-0.040338,0.1,3.0,0.424587,0.006779
-17.122074,295.449931,0.353279,0.739847,-6.085745,0.068543,0.96112,-0.052933,0.731711,0.773314,0.68838,0.001815,0.116034,0.595708,0.513562,0.298373,1.173834,-0.097886,0.166667,2.0,0.381172,0.006779
242.039054,272.606846,0.078967,0.730645,-69.88251,0.083197,0.994709,-0.046946,0.722628,0.779118,0.692479,0.005445,-0.123283,0.616572,0.466546,0.305606,1.214662,-0.008823,0.233333,2.0,0.399025,0.006779
-19.630623,239.740072,0.422844,0.736876,-8.895463,0.075167,0.999878,-0.038674,0.668475,0.757456,0.690736,0.005445,0.162712,0.588431,0.542495,0.318264,1.177311,-0.06615,0.166667,2.0,0.380204,0.006779
-20.511212,271.427177,0.299454,0.763818,-6.609136,0.075453,0.838036,-0.027959,0.721705,0.817628,0.688256,0.0,0.228225,0.599815,0.497288,0.318264,1.18892,-0.090755,-0.033333,2.0,0.409168,0.00949
-235.99241,330.944195,0.121978,0.73762,-23.3664,0.094541,0.97734,-0.025242,0.612822,0.798276,0.66893,0.00726,0.092092,0.634045,0.459313,0.314647,1.259485,-0.027135,-0.166667,3.0,0.421118,0.006779
-23.031062,277.655664,0.202369,0.762615,-7.786925,0.092528,0.686816,0.005526,0.684545,0.764457,0.661408,0.012704,0.040681,0.571184,0.461121,0.283906,1.159246,-0.073352,-0.033333,2.0,0.381824,0.006779
-17.369968,238.473495,0.378438,0.754683,-6.120563,0.103621,0.791557,-0.074645,0.654098,0.792507,0.68329,0.010889,0.187318,0.600249,0.462929,0.311031,1.215192,-0.098071,0.233333,2.0,0.39911,0.008134
