Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Con,Eta_e,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC
44.831459,377.907268,0.881975,0.721262,8.373891,0.139613,0.76902,-0.116296,1.650841,0.872244,0.716446,0.009554,-0.080987,0.690629,0.550633,0.294304,1.303134,0.082474,0.1,2.0,0.437808,0.001558
22.119828,244.146241,0.171606,0.721675,7.105571,0.161283,0.991467,-0.132096,1.493821,0.878615,0.710241,0.0,0.3496,0.642794,0.436709,0.31962,1.248923,0.090463,0.1,2.0,0.427563,0.006232
1561.533676,251.510764,1.158242,0.6887,14.747381,0.122281,1.0,-0.115797,1.322746,0.736622,0.703008,0.025478,0.066297,0.676256,0.582278,0.25,1.446503,0.045856,0.033333,2.0,0.362895,0.006232
49.140724,261.473115,1.343692,0.719835,15.993368,0.175023,0.999498,-0.188605,1.289867,0.771442,0.74364,0.006369,0.372377,0.664553,0.537975,0.268987,1.361201,0.041552,-0.166667,2.0,0.385799,0.001558
-70.764943,340.656292,0.274825,0.752623,-19.261944,0.108083,0.494773,-0.113047,1.520341,0.820502,0.702753,0.003185,0.125929,0.645995,0.462025,0.31962,1.188951,-0.033537,0.1,2.0,0.414706,0.006232
-30.48477,252.084623,0.39588,0.735611,-84.354963,0.111583,0.867121,-0.137013,1.570531,0.897062,0.730169,0.006369,0.141534,0.690148,0.5,0.313291,1.366872,-0.008181,0.1,2.0,0.456078,0.006232
203.183917,312.972035,1.216086,0.692007,21.797954,0.092068,0.999953,-0.050958,1.433767,0.768244,0.677903,0.006369,-0.084075,0.660452,0.556962,0.268987,1.287088,0.030299,-0.033333,2.0,0.38883,0.006232
-134.134193,330.984674,1.962339,0.674686,-31.209969,0.139119,0.999994,-0.155496,1.403977,0.746179,0.67525,0.012739,-0.478832,0.688594,0.579114,0.297468,1.359851,-0.022063,0.1,3.0,0.371572,0.006232
41.614232,326.001323,2.379891,0.650639,9.889711,0.129368,1.0,-0.123551,1.313292,0.692332,0.670758,0.009554,0.036937,0.689449,0.636076,0.243671,1.484805,0.069714,0.3,3.0,0.34083,0.001558
346.577758,214.484434,0.803765,0.703105,28.971479,0.126067,0.998165,-0.120615,1.352009,0.812099,0.656448,0.003185,0.45417,0.668724,0.487342,0.28481,1.432405,0.023082,0.033333,2.0,0.40737,0.006232
-40.048949,319.259044,1.357447,0.702201,-46.323054,0.146515,0.999954,-0.112627,1.334164,0.744634,0.683909,0.009554,0.12115,0.642427,0.566456,0.259494,1.238211,-0.013868,-0.1,2.0,0.379538,0.006232
90.855836,287.525564,0.822137,0.717378,16.65974,0.138422,0.999498,-0.111035,1.251297,0.869722,0.690508,0.012739,-0.003225,0.737875,0.53481,0.265823,1.542401,0.044291,-0.033333,3.0,0.432548,0.006232
-171.746013,242.695799,1.60388,0.671091,35.993985,0.154721,1.0,-0.132207,1.264498,0.664938,0.696224,0.015924,-0.160474,0.668048,0.585443,0.246835,1.482899,0.01856,-0.1,3.0,0.33713,0.001558
93.562296,236.460336,1.262945,0.714927,11.282591,0.171348,0.999588,-0.16085,1.168398,0.874542,0.686574,0.009554,0.416435,0.711521,0.528481,0.278481,1.566705,0.063064,0.233333,2.0,0.436476,0.006232
43.795991,306.705508,2.897373,0.658916,10.776291,0.109194,1.0,-0.062718,1.58895,0.691101,0.703013,0.006369,-0.525343,0.667213,0.629747,0.25,1.332607,0.061915,-0.033333,2.0,0.356056,0.006232
-64.438208,256.942178,1.174742,0.676594,-20.275205,0.134853,0.999999,-0.142751,1.245569,0.690845,0.700202,0.019108,0.133861,0.64167,0.550633,0.262658,1.392597,-0.031648,-0.033333,2.0,0.346229,0.006232
12677.290702,341.765225,1.161044,0.688422,19.790476,0.131512,1.0,-0.080576,1.415967,0.7437,0.692109,0.028662,0.380572,0.658513,0.553797,0.268987,1.497089,0.033274,0.033333,2.0,0.373189,0.001558
-78.62952,305.560535,0.760147,0.72695,-74.215165,0.166111,0.997641,-0.192055,1.432068,0.847448,0.684472,0.0,0.430944,0.672309,0.515823,0.287975,1.391285,-0.009059,0.166667,2.0,0.423503,0.001558
204.971961,280.627006,1.501512,0.700347,-27.060949,0.110344,1.0,-0.084302,1.493943,0.7907,0.671581,0.009554,-0.201105,0.719309,0.598101,0.253165,1.517471,-0.026581,-0.033333,2.0,0.400057,0.006232
915.430758,220.718952,0.573133,0.724692,13.111841,0.148048,0.993586,-0.193797,1.368818,0.786834,0.73301,0.009554,-0.129791,0.653817,0.509494,0.28481,1.38707,0.049865,-0.1,2.0,0.381088,0.006232
117.818047,246.691585,1.504722,0.684265,20.038129,0.125195,1.0,-0.086408,1.316528,0.710401,0.681853,0.012739,0.229538,0.659554,0.60443,0.240506,1.469015,0.032915,0.1,2.0,0.351214,0.001558
-22.393952,344.354354,0.924193,0.699755,-11.023305,0.140365,0.999999,-0.1247,1.340859,0.692117,0.660574,0.015924,-0.005573,0.673134,0.579114,0.278481,1.407064,-0.061065,0.166667,2.0,0.364729,0.006232
-30.739394,313.271877,1.514885,0.685312,-8.829175,0.138027,0.999999,-0.176273,1.395431,0.746909,0.697058,0.009554,0.112182,0.700561,0.588608,0.256329,1.466314,-0.079346,-0.033333,2.0,0.372982,0.001558
-787.75557,322.972544,0.403528,0.744144,27.228745,0.139172,0.99391,-0.164914,1.456312,0.825562,0.718609,0.003185,0.096142,0.666152,0.474684,0.275316,1.41196,0.024465,-0.1,2.0,0.407603,0.006232
-76.597798,268.562422,0.795555,0.71607,-19.436412,0.153451,0.992569,-0.130112,1.272617,0.828371,0.712097,0.015924,0.098538,0.719617,0.522152,0.259494,1.549334,-0.037024,0.1,3.0,0.417095,0.006232
-112.120546,262.223149,2.51742,0.664305,249.876002,0.117196,1.0,-0.079295,1.135132,0.584684,0.684022,0.009554,-0.241599,0.658857,0.677215,0.234177,1.350289,0.002637,0.033333,2.0,0.296713,0.006232
-268.174299,226.426052,0.473467,0.716174,-270.580485,0.121073,0.621061,-0.104417,1.288425,0.847228,0.706381,0.003185,0.007694,0.644583,0.484177,0.300633,1.300632,-0.002382,0.033333,2.0,0.438096,0.006232
192.086473,269.97173,1.894936,0.701188,40.113822,0.118375,0.999179,-0.100638,1.392549,0.879052,0.742424,0.006369,-0.395243,0.736091,0.560127,0.243671,1.395776,0.01835,0.233333,2.0,0.441906,0.006232
-101.211477,293.215808,0.570622,0.710645,24.511998,0.119902,1.0,-0.113906,1.427709,0.727776,0.684506,0.0,0.430963,0.620312,0.528481,0.313291,1.216907,0.025306,0.1,2.0,0.35853,0.006232
-13.035903,441.865662,0.237299,0.749676,-12.355733,0.12494,1.0,-0.147154,1.423797,0.78893,0.763337,0.0,0.472062,0.675331,0.490506,0.31962,1.348404,-0.054657,-0.033333,2.0,0.414093,0.006232
-141.519073,274.325458,2.427657,0.708614,-84.89285,0.124535,0.999977,-0.13417,1.448866,0.779,0.640804,0.012739,-0.231099,0.652491,0.601266,0.256329,1.230588,-0.007686,0.233333,3.0,0.38873,0.006232
-82.045925,319.782279,0.653554,0.693653,-85.531332,0.139679,0.996393,-0.081726,1.380549,0.763785,0.702525,0.009554,0.163981,0.654917,0.506329,0.278481,1.38368,-0.007657,0.033333,2.0,0.386435,0.006232
75.909694,263.791642,0.52675,0.721636,11.217489,0.173404,0.968305,-0.146682,1.350986,0.867705,0.702267,0.003185,-0.041863,0.643947,0.449367,0.262658,1.301451,0.057406,-0.033333,2.0,0.432616,0.006232
79.862901,290.998996,1.217918,0.703903,14.825072,0.151764,0.999993,-0.111244,1.492723,0.760456,0.701393,0.009554,0.163361,0.67429,0.541139,0.275316,1.529281,0.045483,0.3,2.0,0.381656,0.001558
85.138554,211.993321,0.462525,0.718561,16.004659,0.131732,0.919125,-0.10601,1.270037,0.84611,0.691182,0.009554,0.204418,0.660202,0.484177,0.316456,1.264737,0.041251,0.033333,2.0,0.426798,0.006232
57.29762,276.138309,0.945149,0.7138,10.792997,0.108304,0.999979,-0.105246,1.250199,0.804026,0.728609,0.028662,0.121707,0.674718,0.563291,0.278481,1.424758,0.062514,0.166667,3.0,0.398882,0.006232
147.049835,243.446848,2.109615,0.683054,15.526235,0.109864,1.0,-0.093625,1.275753,0.775204,0.716671,0.009554,-0.237541,0.677669,0.664557,0.243671,1.456525,0.043647,0.166667,2.0,0.386485,0.001558
-55.545819,248.330954,1.816779,0.69079,-22.349601,0.098627,1.0,-0.050109,1.499235,0.861266,0.682607,0.015924,-0.277435,0.767814,0.626582,0.246835,1.667175,-0.034355,0.033333,2.0,0.4323,0.001558
45.506509,324.174726,1.52353,0.684535,72.472733,0.099697,1.0,-0.101079,1.454,0.716215,0.682235,0.012739,-0.500794,0.648737,0.547468,0.262658,1.337527,0.008951,0.1,2.0,0.346753,0.006232
-29.618419,287.548892,1.124853,0.721874,54.140656,0.163158,1.0,-0.156163,1.250773,0.768894,0.697175,0.006369,0.454871,0.672741,0.582278,0.259494,1.488905,0.012426,-0.166667,2.0,0.372376,0.001558
67.070999,231.4862,0.886076,0.680122,12.731126,0.140787,0.999932,-0.138701,1.355246,0.74546,0.678695,0.012739,0.146695,0.636188,0.575949,0.268987,1.399183,0.049971,0.166667,2.0,0.373807,0.001558
-46.546626,300.590643,1.403364,0.68574,-18.91511,0.113629,0.999997,-0.141123,1.207456,0.768093,0.708809,0.006369,0.055672,0.71305,0.594937,0.268987,1.557888,-0.037697,-0.1,2.0,0.385737,0.006232
-62.145247,257.338142,0.99523,0.686992,-16.433301,0.124311,0.999954,-0.104499,1.397381,0.769528,0.655894,0.015924,-0.009781,0.653243,0.525316,0.243671,1.378455,-0.039751,-0.033333,2.0,0.394403,0.001558
-25.019613,264.292032,0.405805,0.714663,-139.912323,0.147097,0.999885,-0.146112,1.413951,0.817648,0.700826,0.003185,0.136396,0.656512,0.515823,0.291139,1.342228,-0.004692,0.1,2.0,0.393168,0.001558
-123.405681,264.373509,0.797113,0.694109,-18.854875,0.130531,0.999951,-0.121996,1.363715,0.817423,0.710204,0.009554,-0.111011,0.704453,0.537975,0.297468,1.410098,-0.037362,0.166667,3.0,0.401695,0.006232
-204.110869,329.881753,2.84713,0.679511,-123.442221,0.11386,1.0,-0.074293,1.550762,0.694753,0.621636,0.012739,-0.175487,0.685728,0.683544,0.243671,1.39489,-0.005555,0.1,2.0,0.349618,0.001558
-41.919653,342.891805,0.52718,0.693364,-41.606661,0.10331,0.997803,-0.112477,1.481765,0.787417,0.696095,0.006369,-0.054615,0.669266,0.496835,0.287975,1.381845,-0.016086,0.566667,2.0,0.397792,0.001558
-85.618442,349.090419,1.350534,0.692782,243.100558,0.128647,1.0,-0.104402,1.236134,0.762373,0.708364,0.022293,0.152404,0.727692,0.56962,0.246835,1.533331,0.002993,0.166667,3.0,0.385722,0.006232
-29.646516,292.306893,0.673213,0.698805,-17.332097,0.123967,0.999892,-0.057855,1.296442,0.795494,0.670585,0.012739,-0.131849,0.706255,0.522152,0.281646,1.522976,-0.040748,0.1,2.0,0.399516,0.001558
-28.519882,255.799889,0.474167,0.723821,-116.934258,0.12277,0.999961,-0.110427,1.348263,0.801491,0.736459,0.003185,0.214624,0.662503,0.515823,0.297468,1.393667,-0.005666,0.233333,2.0,0.396538,0.006232
52.034444,282.207992,1.470515,0.684864,13.454556,0.150421,1.0,-0.116123,1.631376,0.684959,0.701237,0.003185,0.246874,0.648203,0.636076,0.25,1.378063,0.048177,0.166667,2.0,0.343945,0.001558
340.984688,252.918661,0.247448,0.711485,30.756601,0.13805,0.997114,-0.109324,1.316335,0.709594,0.68375,0.006369,0.148057,0.643348,0.484177,0.300633,1.381173,0.020917,0.233333,3.0,0.355736,0.006232
69.66321,334.236246,0.542461,0.722482,29.609114,0.156291,0.822441,-0.068431,1.575371,0.825318,0.718217,0.006369,-0.103602,0.643254,0.455696,0.278481,1.383144,0.021725,0.433333,2.0,0.409669,0.006232
-85.937174,269.6149,1.22969,0.68291,-16.623641,0.112866,0.999977,-0.090741,1.362714,0.749673,0.67555,0.006369,-0.021666,0.656036,0.575949,0.265823,1.457934,-0.039464,-0.1,2.0,0.379729,0.006232
-70.032446,289.803596,1.352846,0.716204,-23.196051,0.174285,0.997074,-0.198107,1.584363,0.764922,0.71366,0.003185,0.368753,0.630105,0.601266,0.268987,1.266007,-0.027164,0.1,2.0,0.38348,0.006232
-42.245288,246.591597,0.646674,0.739989,-18.723743,0.139137,0.872381,-0.16217,1.330134,0.909191,0.696488,0.009554,-0.028682,0.726865,0.512658,0.310127,1.360948,-0.03882,0.1,2.0,0.444808,0.006232
