Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Con,Eta_e,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC
-50.138191,234.880052,0.870124,0.702376,115.283223,0.196389,1.0,-0.22007,0.318784,0.840575,0.739386,0.018382,0.668782,0.707509,0.556777,0.282051,1.405789,0.006137,0.166667,4.0,0.421662,0.016231
-50.402538,216.177185,1.166073,0.717013,-44.668476,0.196559,1.0,-0.243588,0.332836,0.910906,0.712648,0.022059,0.725195,0.69642,0.481685,0.285714,1.391091,-0.015591,0.1,4.0,0.452844,0.013526
-19.37328,197.371218,1.482068,0.714996,-13.699214,0.187064,1.0,-0.200076,0.380212,0.956758,0.707881,0.012868,0.82394,0.707616,0.540293,0.258242,1.339619,-0.051654,0.033333,4.0,0.465454,0.010821
-26.564716,256.618613,0.745623,0.693781,-13.787905,0.194356,1.0,-0.20154,0.36114,0.835265,0.70168,0.022059,0.491914,0.715394,0.529304,0.29304,1.503895,-0.051886,0.033333,4.0,0.418483,0.014878
-22.365657,245.059303,0.613219,0.691348,-20.06778,0.211208,1.0,-0.251321,0.342463,0.926288,0.716037,0.014706,0.426846,0.724548,0.525641,0.305861,1.422291,-0.036105,0.233333,5.0,0.435581,0.014878
-24.32215,265.628333,0.910589,0.693742,45.95819,0.211976,1.0,-0.234664,0.349127,0.830784,0.740815,0.023897,0.901053,0.716213,0.553114,0.261905,1.373671,0.015584,-0.033333,5.0,0.390434,0.013526
-24.369182,261.251797,0.823456,0.705229,-17.714231,0.203749,1.0,-0.228869,0.338034,0.949105,0.700976,0.018382,0.638273,0.736111,0.556777,0.274725,1.42483,-0.041555,0.033333,4.0,0.467917,0.013526
-16.047077,254.259043,0.419409,0.712199,-21.118817,0.212376,1.0,-0.250403,0.36338,0.984915,0.65958,0.005515,0.51626,0.738389,0.53663,0.285714,1.446262,-0.034964,0.033333,4.0,0.451975,0.013526
-24.609033,250.006823,1.021058,0.686972,-20.143186,0.181194,1.0,-0.199695,0.329633,0.861679,0.744969,0.020221,0.661447,0.724413,0.553114,0.278388,1.479932,-0.035963,0.166667,4.0,0.419283,0.013526
-38.091755,238.308511,1.180019,0.688143,444.900253,0.187683,1.0,-0.224943,0.387032,0.849965,0.699217,0.016544,0.577956,0.734078,0.604396,0.298535,1.392288,0.00165,0.433333,4.0,0.425409,0.013526
-53.158669,197.339623,1.549142,0.711725,69.770616,0.191179,1.0,-0.211109,0.367535,0.929717,0.708117,0.016544,0.788955,0.711878,0.542125,0.289377,1.454696,0.010203,0.033333,3.0,0.453857,0.010821
-97.917893,219.670025,0.706019,0.720948,154.203854,0.201517,1.0,-0.207262,0.346709,0.904666,0.727121,0.022059,0.555541,0.726277,0.534799,0.29304,1.434707,0.00471,0.433333,4.0,0.452669,0.013526
-22.267638,340.381387,0.775747,0.691358,-31.584302,0.198734,1.0,-0.206706,0.380557,0.885751,0.703167,0.012868,0.708701,0.707584,0.478022,0.289377,1.357858,-0.022403,0.433333,5.0,0.437862,0.013526
-32.832903,248.486418,0.949359,0.701865,-129.82823,0.204797,1.0,-0.233363,0.326157,0.879715,0.713206,0.027574,0.574478,0.754359,0.527473,0.24359,1.563388,-0.00581,0.433333,4.0,0.449502,0.014878
-29.415483,226.755897,0.475458,0.696348,-78.256077,0.21605,1.0,-0.241518,0.337876,0.845505,0.68466,0.027574,0.523059,0.710876,0.505495,0.271062,1.40386,-0.009084,0.166667,5.0,0.416659,0.013526
-43.607568,248.213232,1.30824,0.713532,-319.369336,0.200493,1.0,-0.201356,0.381908,0.802608,0.702519,0.011029,0.782106,0.698265,0.547619,0.274725,1.379175,-0.002186,-0.166667,4.0,0.404062,0.013526
-19.124477,277.710231,0.645834,0.731362,-13.285998,0.215865,1.0,-0.224619,0.355626,0.851951,0.7545,0.016544,0.613363,0.700262,0.509158,0.304029,1.402023,-0.052707,0.1,4.0,0.413754,0.017584
-22.368467,245.397038,0.944178,0.705932,-45.90927,0.200316,1.0,-0.222451,0.347606,0.827651,0.701362,0.007353,0.751819,0.680749,0.600733,0.282051,1.32632,-0.014828,-0.166667,4.0,0.389868,0.016231
-15.448489,254.076214,0.38562,0.704379,-10.901582,0.203361,1.0,-0.228708,0.387757,0.885462,0.724751,0.018382,0.277552,0.695458,0.529304,0.278388,1.352949,-0.063794,0.1,4.0,0.432914,0.013526
-17.600755,240.980352,0.651416,0.726447,-22.177337,0.188495,1.0,-0.216935,0.327878,1.05307,0.699597,0.020221,0.666949,0.767167,0.521978,0.29304,1.488794,-0.034592,-0.433333,4.0,0.456076,0.013526
-17.78798,204.213115,1.002332,0.70358,-13.108196,0.195612,1.0,-0.207174,0.340702,0.842999,0.693347,0.020221,0.655366,0.690288,0.527473,0.269231,1.375526,-0.052661,0.366667,4.0,0.410408,0.013526
-23.57151,248.92837,0.904329,0.676315,-18.427389,0.210395,1.0,-0.250552,0.362866,0.851229,0.665025,0.020221,0.565464,0.72806,0.57326,0.267399,1.504853,-0.03951,0.033333,4.0,0.426759,0.010821
-26.523988,255.133977,0.686081,0.714075,-25.931912,0.207492,1.0,-0.227799,0.352132,0.782287,0.685999,0.025735,0.652663,0.680852,0.556777,0.276557,1.413199,-0.026255,0.033333,4.0,0.388071,0.013526
-193.45752,274.645689,1.301932,0.702095,17.661489,0.193535,1.0,-0.221704,0.34298,0.895255,0.697474,0.012868,0.717683,0.697569,0.556777,0.272894,1.293588,0.039497,0.433333,4.0,0.447498,0.013526
-31.409309,194.76784,2.014277,0.688161,-37.227524,0.189817,1.0,-0.211288,0.369626,0.797884,0.735324,0.020221,0.956218,0.729421,0.595238,0.247253,1.507251,-0.019594,0.233333,4.0,0.399072,0.010821
-28.852884,221.256204,0.524261,0.706277,-24.39738,0.204009,1.0,-0.205467,0.35466,0.886403,0.716464,0.009191,0.473578,0.70093,0.509158,0.324176,1.350464,-0.02873,0.1,4.0,0.446912,0.013526
-27.801403,238.587353,0.340589,0.716802,1232.490874,0.182971,1.0,-0.210998,0.381576,0.920082,0.68434,0.027574,0.561757,0.711987,0.457875,0.276557,1.387533,0.000578,0.166667,4.0,0.449039,0.013526
-18.535493,228.815407,0.890111,0.722863,-13.553222,0.221551,1.0,-0.261623,0.353066,0.902207,0.706035,0.011029,0.69879,0.720439,0.593407,0.274725,1.442316,-0.053156,0.366667,4.0,0.43916,0.014878
-29.198543,214.725998,0.768484,0.713996,-142.828306,0.188647,1.0,-0.208899,0.348301,0.939634,0.724297,0.016544,0.636683,0.741517,0.509158,0.283883,1.533721,-0.005192,0.366667,4.0,0.467821,0.013526
-33.100483,210.994646,1.711073,0.697858,-15.866653,0.19813,1.0,-0.220084,0.293415,0.855344,0.709263,0.025735,0.696673,0.729661,0.626374,0.249084,1.492772,-0.045987,0.166667,5.0,0.431179,0.016231
