Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Con,Eta_e,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC
152.370323,334.296822,0.053334,0.717471,-15.350471,0.052811,0.989592,-0.008489,2.225131,0.996459,0.79116,0.0,-0.308416,0.71973,0.483957,0.34492,1.398057,-0.046887,-0.033333,2.0,0.486766,0.00771
-62.573007,316.638441,-0.012928,0.694791,-14.45069,0.085396,0.199575,-0.029055,2.286839,1.008622,0.801081,0.0,-0.051423,0.755428,0.451872,0.323529,1.506039,-0.052276,0.033333,2.0,0.511477,0.006168
-119.984913,332.234122,0.388389,0.713136,-61.558672,0.103931,0.460351,-0.007402,2.066221,0.952924,0.781915,0.0,-0.090955,0.750156,0.494652,0.304813,1.484906,-0.012186,0.166667,2.0,0.476366,0.006168
-38.465387,359.256164,-0.110804,0.713129,-25.10996,0.067866,0.863357,-0.009077,2.546532,1.014299,0.816729,0.0,-0.11285,0.703824,0.409091,0.307487,1.377339,-0.02803,-0.1,2.0,0.505675,0.00771
-61.783137,339.319456,-0.047337,0.713662,-17.983441,0.079049,0.317198,-0.024929,2.003358,0.941813,0.771935,0.0,-0.155902,0.69323,0.433155,0.320856,1.373826,-0.038548,0.166667,2.0,0.474946,0.006168
-90.851522,293.289216,-0.445793,0.736556,-160.068278,0.09295,0.990911,-0.03602,2.447046,1.036249,0.818974,0.0,-0.064209,0.697632,0.371658,0.339572,1.311299,-0.004358,0.033333,2.0,0.52249,0.006168
-20.880048,283.875541,-0.26525,0.731197,-5.766117,0.083229,0.922285,-0.039011,2.379036,0.870822,0.775144,0.002688,-0.212593,0.658611,0.417112,0.336898,1.265208,-0.114221,0.1,2.0,0.447701,0.00771
61.23858,348.377978,0.39409,0.701895,4435.155386,0.082131,0.957712,0.019508,2.104171,0.940614,0.74553,0.0,-0.368378,0.721329,0.508021,0.320856,1.326622,0.000163,0.1,2.0,0.480353,0.006168
-27.275066,323.993531,-0.022278,0.685577,-9.101173,0.103191,0.284266,-0.033121,2.452395,0.911328,0.788031,0.0,-0.110639,0.674526,0.459893,0.339572,1.404544,-0.074114,0.1,2.0,0.455457,0.006168
-24.243516,299.152722,-0.102237,0.712808,-11.794638,0.071207,0.323147,-0.035826,2.019987,0.953652,0.794009,0.0,-0.045486,0.689044,0.409091,0.302139,1.435137,-0.05842,0.1,2.0,0.474553,0.006168
