Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Con,Eta_e,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC
73.375701,231.353641,0.445281,0.732999,-44.748718,0.08973,0.742041,0.058401,1.374652,0.691278,0.652746,0.002653,-0.276673,0.53994,0.519789,0.324538,1.060487,-0.012066,0.166667,2.0,0.344163,0.007969
-29.93532,227.753243,1.327046,0.699276,-15.119315,0.082727,0.999808,0.062222,1.295795,0.671572,0.746182,0.002653,0.018926,0.579333,0.617414,0.277045,1.176202,-0.038317,0.233333,2.0,0.343696,0.009562
-26.771904,192.318165,-0.25297,0.744776,-8.994262,0.135325,0.75853,0.094592,1.465185,0.82302,0.712259,0.0,-0.135692,0.609937,0.406332,0.335092,1.184983,-0.067814,0.033333,2.0,0.411177,0.007969
59.178479,242.30801,2.62789,0.705146,34.390352,0.088843,0.999991,0.106835,1.43349,0.66864,0.694706,0.0,-0.561289,0.602564,0.664908,0.266491,1.152318,0.017521,-0.1,2.0,0.321144,0.007969
-218.734881,190.003314,1.232247,0.705772,57.524863,0.119477,0.999646,0.089648,1.498535,0.637307,0.689364,0.0,0.06142,0.558202,0.588391,0.292876,1.158675,0.009704,-0.1,2.0,0.315916,0.006375
217.601669,208.735831,0.292763,0.723473,14.256957,0.11467,0.827387,0.063782,1.510042,0.784596,0.703452,0.0,-0.061271,0.562089,0.490765,0.30343,1.031156,0.039426,0.166667,2.0,0.383452,0.007969
-46.626826,209.628879,-0.00111,0.7381,-73.865702,0.099292,0.629681,0.061719,1.572654,0.677076,0.690338,0.002653,0.076662,0.546591,0.451187,0.298153,1.076863,-0.0074,0.166667,2.0,0.345584,0.007969
29.630515,248.660871,0.605882,0.692824,16.66728,0.083869,0.998197,0.044614,1.282146,0.686023,0.676079,0.002653,-0.117586,0.566383,0.525066,0.266491,1.164479,0.033982,-0.1,2.0,0.346812,0.009562
-59.448119,245.102869,1.589354,0.732632,-7.305668,0.105511,0.995894,0.066125,1.53261,0.754858,0.64248,0.0,-0.468287,0.575653,0.612137,0.255937,1.113422,-0.078795,0.3,2.0,0.376891,0.009562
-28.898393,282.040267,0.275386,0.727416,-17.092375,0.097402,0.954724,0.041066,1.427058,0.79602,0.682504,0.013263,0.127823,0.663063,0.467018,0.295515,1.450202,-0.038793,-0.1,2.0,0.391455,0.007969
-60.246894,275.756346,1.930897,0.691091,-18.760669,0.079494,0.999995,0.038178,1.463946,0.76839,0.730539,0.002653,0.214505,0.616627,0.646438,0.237467,1.363849,-0.032868,0.166667,2.0,0.379599,0.007969
-23.07699,227.796206,0.026244,0.723142,-9.817532,0.080965,0.373746,0.00794,1.738918,0.794638,0.659572,0.002653,-0.043597,0.564502,0.424802,0.313984,1.11426,-0.057499,0.233333,2.0,0.396541,0.009562
-21.759989,243.669814,-0.032574,0.708378,-7.960427,0.116483,0.338534,0.053093,1.654943,0.740343,0.655152,0.005305,0.009454,0.548667,0.44591,0.329815,1.073191,-0.068924,-0.033333,2.0,0.373851,0.009562
-20.845009,190.031493,0.524782,0.710277,-6.888088,0.106402,0.998223,0.060055,1.314424,0.710301,0.713765,0.002653,-0.001225,0.608404,0.538259,0.282322,1.20892,-0.088327,0.033333,2.0,0.348782,0.007969
-38.716803,348.747393,0.198028,0.72035,-8.985526,0.094819,0.889863,0.05565,1.733496,0.728309,0.648138,0.0,-0.086795,0.591281,0.435356,0.292876,1.196562,-0.065804,-0.233333,2.0,0.374293,0.007969
-370.060309,232.992757,0.563937,0.71109,-59.397835,0.082977,0.994801,0.057051,1.56164,0.670454,0.640173,0.007958,-0.072757,0.555661,0.477573,0.28496,1.213576,-0.009355,0.233333,2.0,0.333009,0.007969
-96.843552,206.775002,1.189853,0.704953,-12.217198,0.084498,0.989068,0.013542,1.504311,0.690867,0.649906,0.002653,0.062144,0.572418,0.596306,0.292876,1.119243,-0.046853,0.1,2.0,0.355444,0.006375
-34.53325,251.703806,0.026522,0.730055,-9.230151,0.087193,0.603624,0.030425,1.660121,0.795155,0.690587,0.005305,-0.180432,0.571355,0.403694,0.313984,1.141977,-0.061901,0.233333,2.0,0.394934,0.009562
-36.008311,208.907008,0.167008,0.711973,-11.393877,0.070762,0.316613,-0.02909,1.558474,0.782336,0.678094,0.002653,0.139637,0.592378,0.496042,0.324538,1.157486,-0.051991,-0.1,2.0,0.393231,0.007969
-42.071604,211.969535,0.812308,0.708259,-15.443274,0.08772,0.931801,0.040089,1.564864,0.760667,0.730793,0.005305,0.035486,0.573922,0.572559,0.277045,1.10524,-0.037163,-0.1,2.0,0.380361,0.007969
-24.650861,232.244025,0.969139,0.687327,-7.300664,0.102091,1.0,-0.024117,1.78117,0.5752,0.706575,0.002653,-0.164885,0.52389,0.556728,0.263852,1.135529,-0.071759,0.3,2.0,0.29088,0.006375
-42.658484,223.851438,0.488578,0.750599,-14.346416,0.126811,0.681672,0.096732,1.329196,0.7468,0.698768,0.0,-0.091165,0.590563,0.51715,0.287599,1.174456,-0.041165,0.1,2.0,0.36411,0.009562
-48.558451,261.289108,0.520047,0.69494,-9.59292,0.128935,0.993243,0.082041,1.497779,0.767427,0.695122,0.0,-0.284665,0.617179,0.498681,0.290237,1.207602,-0.064337,0.033333,2.0,0.387887,0.007969
-84.947349,226.003712,0.899841,0.717957,-10.592666,0.062279,0.999977,-0.028101,1.647757,0.684748,0.680018,0.0,-0.457558,0.57273,0.564644,0.269129,1.129395,-0.054069,-0.033333,2.0,0.343082,0.007969
-18.496594,266.786589,1.089086,0.696659,-5.606946,0.077231,0.999389,0.026834,1.679801,0.618065,0.653796,0.007958,0.066186,0.536392,0.572559,0.287599,1.112303,-0.095666,-0.1,2.0,0.311643,0.007969
-87.510307,242.115778,1.031519,0.68471,-10.986611,0.08036,0.748504,0.050464,1.598772,0.705739,0.764381,0.007958,-0.199285,0.560557,0.551451,0.298153,1.064639,-0.051022,-0.033333,2.0,0.35194,0.007969
-36.871853,315.684505,0.725782,0.721425,-5.810894,0.080742,0.999016,0.042157,1.608039,0.785477,0.717697,0.005305,-0.448061,0.604581,0.522427,0.277045,1.217373,-0.104043,-0.166667,2.0,0.385181,0.007969
71.282629,194.287238,1.03465,0.71707,33.298696,0.101983,0.792793,0.061393,1.180263,0.741485,0.672446,0.0,-0.253224,0.587805,0.577836,0.287599,1.080729,0.017653,-0.033333,2.0,0.372784,0.007969
73.768186,248.276709,0.387331,0.732991,-54.458097,0.065657,0.889874,0.0251,1.35741,0.814177,0.64095,0.002653,-0.27371,0.590972,0.453826,0.308707,1.156205,-0.010852,0.033333,2.0,0.412797,0.006375
-1088.742315,265.568985,0.251175,0.698283,51.461321,0.089552,0.842945,0.042259,1.876453,0.736182,0.69242,0.0,0.248353,0.55887,0.469657,0.295515,1.122987,0.01086,-0.1,2.0,0.377308,0.006375
-115.196767,240.35082,0.593716,0.714767,-21.230937,0.109899,0.973745,0.063212,1.230272,0.748533,0.669682,0.002653,-0.165048,0.589847,0.501319,0.292876,1.202225,-0.027782,-0.3,2.0,0.370165,0.009562
-52.655642,382.146834,-0.043892,0.699871,-9.809919,0.090775,0.942538,0.049709,1.399518,0.816713,0.668994,0.007958,-0.193479,0.63243,0.414248,0.313984,1.275789,-0.064468,0.1,2.0,0.40988,0.011156
-30.099337,219.613673,0.126721,0.70873,-10.518019,0.087851,0.991028,0.07588,1.661892,0.623051,0.693476,0.002653,-0.142908,0.544008,0.509235,0.30343,1.104949,-0.051722,-0.1,2.0,0.312219,0.007969
-41.022849,290.80973,0.011813,0.734453,-9.918348,0.087736,0.631463,0.033046,1.371076,0.792275,0.700185,0.0,-0.185548,0.57439,0.472296,0.313984,1.089058,-0.057912,-0.033333,2.0,0.393333,0.009562
-96.642848,284.078598,0.642068,0.736162,-27.161175,0.090432,0.992226,0.025848,1.391227,0.783842,0.686447,0.005305,-0.142997,0.609426,0.467018,0.282322,1.256087,-0.022437,0.166667,2.0,0.402176,0.009562
-81.912007,188.116714,0.610156,0.702635,-42.457055,0.119301,0.9764,0.089665,1.277507,0.752485,0.661629,0.005305,0.008236,0.606256,0.564644,0.290237,1.211598,-0.014279,-0.1,2.0,0.378849,0.007969
-20.342654,208.124649,-0.041194,0.740731,-9.510725,0.121509,0.734547,0.096419,1.418382,0.767738,0.676381,0.005305,-0.13192,0.564223,0.414248,0.319261,1.10927,-0.059325,0.1,2.0,0.387882,0.007969
-89.843572,213.007338,0.773672,0.71304,716.991994,0.094019,0.674897,0.041192,1.435148,0.738522,0.655025,0.005305,0.119249,0.563514,0.514512,0.28496,1.111903,0.000786,0.233333,2.0,0.382325,0.007969
-5941.099037,201.911796,0.317061,0.716688,-16.442299,0.144271,0.900667,0.11729,1.426131,0.769246,0.6657,0.005305,-0.242857,0.568719,0.448549,0.306069,1.164371,-0.034589,0.233333,2.0,0.38307,0.007969
-69.125475,259.071974,0.553628,0.717554,-40.815125,0.0815,0.528158,0.03159,1.497383,0.851105,0.660898,0.002653,0.022769,0.643048,0.498681,0.292876,1.202176,-0.015755,0.1,2.0,0.419632,0.007969
-51.786247,227.486587,0.583843,0.7083,-22.893985,0.117295,0.99997,0.077585,1.451566,0.67275,0.710949,0.007958,-0.242758,0.607279,0.540897,0.298153,1.270153,-0.026526,0.1,2.0,0.348688,0.006375
5667.391995,251.271391,0.737495,0.724788,-59.716946,0.064084,0.998913,0.020475,1.46815,0.731597,0.682211,0.002653,-0.32678,0.598659,0.55409,0.28496,1.2135,-0.010025,0.033333,2.0,0.373152,0.009562
-54.809236,209.847626,1.010471,0.729309,-9.055369,0.094655,0.989034,0.052365,1.559325,0.729256,0.65297,0.01061,-0.113237,0.55591,0.527704,0.258575,1.133679,-0.06139,0.1,2.0,0.368846,0.006375
-30.866085,195.298268,0.103949,0.708574,-10.806884,0.143612,0.982089,0.035225,1.479164,0.687596,0.675268,0.007958,-0.07381,0.563844,0.477573,0.316623,1.152752,-0.052175,0.033333,2.0,0.3435,0.007969
-29.554936,199.918461,0.451406,0.694765,-41.288112,0.118089,0.999847,0.086746,1.358328,0.795015,0.638285,0.007958,0.122698,0.630485,0.511873,0.292876,1.224806,-0.01527,-0.166667,2.0,0.382637,0.009562
50.14056,285.859329,0.585253,0.703807,26.711788,0.091085,0.999201,0.013446,1.797564,0.653482,0.671258,0.0,0.075786,0.554466,0.556728,0.282322,1.127556,0.020757,-0.033333,2.0,0.325644,0.003187
-198.8379,241.249714,1.330754,0.667144,-236.831497,0.07425,0.989793,0.057407,1.361345,0.726496,0.648858,0.002653,0.107454,0.592966,0.596306,0.274406,1.155579,-0.002504,-0.1,2.0,0.364756,0.007969
177.546049,303.279755,0.582484,0.743065,-75.05365,0.134956,0.595245,0.11019,1.710741,0.82785,0.697214,0.0,-0.101144,0.599736,0.506596,0.300792,1.171106,-0.007991,0.033333,2.0,0.413434,0.007969
-41.374934,258.835952,0.417994,0.696985,-10.320915,0.082605,0.461904,0.084742,1.687796,0.755346,0.676675,0.0,-0.097348,0.59435,0.519789,0.30343,1.118732,-0.057587,0.1,2.0,0.379397,0.007969
-18.088633,210.342138,0.363008,0.720405,-9.791235,0.075024,0.939931,0.029109,1.330935,0.732948,0.723806,0.002653,-0.194321,0.539706,0.48285,0.292876,1.038133,-0.055121,0.033333,2.0,0.361391,0.009562
