Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Con,Eta_e,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC
-41.792915,467.34801,0.448945,0.687503,-33.565019,0.068305,0.999867,0.010705,1.296754,0.728169,0.823285,0.009843,0.140877,0.592875,0.490196,0.266667,1.239256,-0.017663,-0.033333,2.0,0.364582,0.002813
-25.987772,497.032226,0.272223,0.695854,-18.499009,0.072317,0.992549,0.008425,1.392939,0.709016,0.823225,0.007874,0.118839,0.586923,0.472549,0.284314,1.224743,-0.031727,-0.166667,2.0,0.364033,0.002813
-44.478579,492.225993,0.216074,0.702857,-25.740836,0.080184,0.90322,0.004966,1.30812,0.781949,0.817291,0.0,0.063687,0.593767,0.470588,0.288235,1.223869,-0.023067,-0.166667,2.0,0.390722,0.002813
-47.155892,498.960943,0.332916,0.705413,-28.611043,0.072505,0.999151,0.003849,1.343239,0.787505,0.83463,0.009843,0.13443,0.60281,0.460784,0.286275,1.263969,-0.021069,-0.1,2.0,0.390549,0.002813
-48.720169,491.738022,0.29532,0.69585,-26.659328,0.069067,0.996456,0.01226,1.412873,0.714034,0.828403,0.003937,0.116024,0.593034,0.496078,0.290196,1.231139,-0.022245,-0.1,2.0,0.35187,0.002813
-35.83806,553.162421,0.289335,0.695022,-15.791662,0.067521,0.845182,0.007772,1.365003,0.747124,0.820697,0.005906,0.098125,0.588789,0.472549,0.292157,1.229326,-0.037285,-0.1,2.0,0.380166,0.002813
-86.258085,552.58413,0.245539,0.697987,-25.78072,0.069697,0.956727,0.02225,1.363103,0.73023,0.828154,0.003937,0.09689,0.5767,0.470588,0.292157,1.197448,-0.022369,-0.1,2.0,0.368944,0.002813
-38.036905,487.468067,0.427182,0.694664,-58.691373,0.071803,0.99997,0.0041,1.35861,0.75744,0.822916,0.005906,0.176526,0.598062,0.47451,0.264706,1.268943,-0.01019,-0.1,2.0,0.388119,0.002813
-51.341533,500.442321,0.377292,0.684094,-24.304569,0.06523,0.992532,0.008905,1.382937,0.74265,0.823683,0.003937,0.086659,0.595716,0.480392,0.296078,1.222287,-0.02451,-0.033333,2.0,0.37187,0.002813
-57.38164,510.83102,0.316943,0.692067,-69.92093,0.076269,0.977816,0.000302,1.303982,0.787176,0.832058,0.001969,0.041251,0.593713,0.456863,0.280392,1.255434,-0.008491,-0.1,2.0,0.389926,0.002813
-43.571546,454.783423,0.237977,0.693768,-55.21887,0.06825,0.999955,0.005991,1.290067,0.751351,0.822218,0.007874,0.148833,0.605463,0.472549,0.294118,1.311991,-0.010965,-0.166667,2.0,0.370758,0.002813
-34.026045,520.041327,0.08084,0.704711,-28.375708,0.068688,0.988583,0.001793,1.390464,0.804255,0.827309,0.005906,0.083001,0.600363,0.443137,0.294118,1.212104,-0.021158,-0.166667,2.0,0.395378,0.002813
-35.324218,546.602493,0.489425,0.700011,-41.569538,0.06767,0.999025,0.001325,1.362513,0.752487,0.828812,0.003937,0.112783,0.590603,0.486275,0.276471,1.228192,-0.014208,-0.166667,2.0,0.369922,0.002813
-54.009413,501.426322,0.182201,0.703661,-23.177918,0.070406,0.91608,0.007806,1.324018,0.760043,0.824365,0.001969,0.005797,0.589422,0.443137,0.3,1.217769,-0.02543,-0.166667,2.0,0.37955,0.002813
-62.812713,465.633994,0.325512,0.696975,-23.647883,0.071199,0.97026,0.014403,1.327833,0.747743,0.830138,0.005906,0.060755,0.585884,0.456863,0.288235,1.226768,-0.024775,-0.1,2.0,0.372224,0.002813
-32.726973,476.8738,0.579948,0.690341,-28.041247,0.076526,0.999959,0.016855,1.285252,0.719929,0.821296,0.007874,0.15133,0.598816,0.498039,0.288235,1.239333,-0.021355,-0.1,2.0,0.367417,0.002813
-56.173763,477.502824,0.232842,0.696445,-39.399843,0.07259,0.97591,0.00995,1.316442,0.759115,0.824237,0.0,0.177096,0.586287,0.492157,0.298039,1.201165,-0.01488,-0.166667,2.0,0.38006,0.002813
-25.33942,412.057706,0.32385,0.703912,-26.289317,0.079974,0.999314,0.007525,1.243103,0.758953,0.829294,0.005906,0.131038,0.600939,0.464706,0.290196,1.233848,-0.022859,-0.033333,2.0,0.380109,0.002813
-52.705499,457.542,0.369581,0.688498,-29.710487,0.071131,0.993837,0.023269,1.279891,0.727068,0.824329,0.005906,0.03956,0.600337,0.511765,0.286275,1.231007,-0.020206,-0.033333,2.0,0.361641,0.002813
-56.185807,537.4319,0.397066,0.696142,-38.956763,0.068058,0.99515,-0.00229,1.384685,0.751697,0.82282,0.007874,0.14593,0.588976,0.494118,0.284314,1.25192,-0.015119,-0.1,2.0,0.379236,0.002813
-68.722012,583.87278,0.422661,0.678447,-46.493223,0.06484,0.999992,-0.010644,1.357529,0.742024,0.831541,0.009843,0.1688,0.594744,0.484314,0.270588,1.254625,-0.012792,-0.166667,2.0,0.369437,0.002813
-22.460112,481.715906,0.110267,0.701188,-24.949088,0.072886,0.981708,-0.002609,1.402357,0.819375,0.828766,0.001969,0.135941,0.592083,0.421569,0.288235,1.237349,-0.023732,-0.1,2.0,0.398983,0.002813
