Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Con,Eta_e,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC
1567.163342,587.520119,-0.140929,0.626653,39.872545,0.075279,0.99597,-0.034932,3.120073,0.79689,0.789561,0.0,0.209993,0.633813,0.424893,0.319742,1.278991,0.015896,0.166667,1.0,0.395878,0.003368
-287.112892,564.005606,0.018081,0.622483,44.647033,0.071912,0.999838,-0.042994,3.160997,0.791526,0.782898,0.0,0.306105,0.627501,0.435622,0.291845,1.245868,0.014055,0.233333,1.0,0.400807,0.003368
-224.070224,602.503607,-0.076732,0.619362,41.234881,0.071479,0.999255,-0.039214,3.191524,0.798391,0.792905,0.0,0.244467,0.622339,0.403433,0.283262,1.286783,0.015093,0.166667,1.0,0.401247,0.003368
-158.060936,591.224599,-0.080534,0.624679,96.654745,0.074448,0.999477,-0.039783,3.149283,0.811007,0.790226,0.0,0.254157,0.626755,0.420601,0.293991,1.273634,0.006484,0.166667,1.0,0.399426,0.003368
256.811338,587.961537,-0.010307,0.620558,56.034336,0.072165,0.999657,-0.039377,3.124449,0.785221,0.789776,0.0,0.23665,0.637329,0.416309,0.293991,1.285326,0.011374,0.166667,1.0,0.394111,0.003368
-63.752305,599.857252,-0.127725,0.628138,52.166383,0.072103,0.997112,-0.03764,3.154242,0.812336,0.787006,0.0,0.270833,0.628566,0.405579,0.302575,1.274596,0.012049,0.233333,1.0,0.40096,0.003368
-43.634534,608.521951,0.007543,0.621402,101.071586,0.080189,0.999947,-0.045344,3.165848,0.760668,0.789406,0.0,0.264088,0.628526,0.437768,0.27897,1.283607,0.006219,0.1,1.0,0.382552,0.003368
-153.490751,659.040183,-0.095139,0.629219,80.230587,0.075359,0.999144,-0.034205,3.10178,0.789196,0.785393,0.0,0.246695,0.625855,0.407725,0.309013,1.26963,0.007801,0.166667,1.0,0.410118,0.003368
-468.068053,606.701356,-0.104498,0.627688,78.112007,0.071034,0.988784,-0.041679,3.253195,0.809669,0.78602,0.0,0.255113,0.625369,0.416309,0.304721,1.241686,0.008006,0.233333,1.0,0.406811,0.003368
-215.815733,600.117717,-0.06519,0.617807,41.750531,0.072434,0.999382,-0.035819,3.183299,0.779069,0.79267,0.0,0.245309,0.630704,0.422747,0.300429,1.290347,0.015106,0.166667,1.0,0.388469,0.003368
