Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Con,Eta_e,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC
899.534162,479.599972,0.200368,0.626952,476.628026,0.074394,0.652328,0.00392,2.03381,0.993986,0.775682,0.0,-0.106946,0.74233,0.483709,0.315789,1.474229,0.001557,0.033333,2.0,0.499539,0.001824
130.257408,493.8332,0.213045,0.631048,-316.226416,0.078341,0.919072,0.008241,2.073484,1.016249,0.776973,0.0,-0.165167,0.747316,0.473684,0.305764,1.449448,-0.002363,0.033333,2.0,0.509708,0.001824
2514.732727,476.662237,0.16767,0.630179,37190.932183,0.073077,0.757662,-0.000162,2.047512,1.024651,0.769437,0.0,-0.136422,0.742566,0.466165,0.313283,1.480174,2e-05,0.1,2.0,0.508274,0.001824
648.690436,497.402227,0.177911,0.631752,130.875413,0.074325,0.865777,0.001631,2.059499,1.018125,0.770518,0.0,-0.157919,0.739365,0.473684,0.305764,1.457733,0.005649,0.033333,2.0,0.509779,0.001824
442.395708,504.71131,0.289829,0.625601,-925.732605,0.073722,0.916877,0.007705,2.100338,1.020237,0.777608,0.0,-0.154201,0.746864,0.491228,0.310777,1.447449,-0.000807,-0.033333,2.0,0.514021,0.001824
-1980.214948,464.961198,0.201197,0.627727,83.355688,0.074336,0.937697,0.008649,2.066789,0.995826,0.77218,0.0,-0.145458,0.73235,0.473684,0.323308,1.424712,0.008786,0.033333,2.0,0.494613,0.001824
170.352439,479.688604,0.196052,0.634332,-242.774898,0.075999,0.888211,0.011771,2.015289,1.00585,0.775985,0.0,-0.133594,0.743235,0.471178,0.328321,1.403739,-0.003061,0.033333,2.0,0.497056,0.001824
-276.572119,443.174193,0.169515,0.630069,-521.740857,0.077151,0.90056,0.007702,2.077815,0.985257,0.773023,0.0,-0.155842,0.738438,0.473684,0.318296,1.437829,-0.001415,0.033333,2.0,0.501954,0.001824
155.078461,508.33186,0.223564,0.631354,120.680609,0.07797,0.950416,0.001101,2.037683,0.984829,0.775243,0.0,-0.156265,0.740241,0.493734,0.313283,1.406069,0.006134,-0.033333,2.0,0.50855,0.003649
-2848.461029,481.924696,0.217482,0.631837,-253.82263,0.077706,0.957856,0.011524,2.058681,0.966801,0.780539,0.0,-0.181269,0.736593,0.493734,0.318296,1.424809,-0.002902,0.033333,2.0,0.483566,0.001824
799.508683,479.582052,0.114331,0.631744,-3771.818391,0.08133,0.942496,0.016361,2.078391,0.982245,0.780411,0.0,-0.158374,0.733343,0.471178,0.310777,1.389887,-0.000194,-0.033333,2.0,0.479976,0.003649
522.472823,464.068966,0.20829,0.629301,132.427383,0.07547,0.69177,0.007308,2.017736,0.969596,0.777918,0.0,-0.115812,0.742774,0.486216,0.308271,1.441274,0.005609,0.033333,2.0,0.489085,0.001824
275.434414,452.072877,0.155406,0.629239,210.107275,0.072559,0.77764,-0.000783,2.043755,0.998432,0.78148,0.0,-0.129371,0.744557,0.471178,0.308271,1.472163,0.003544,0.033333,2.0,0.48848,0.003649
-246.40794,472.748165,0.189865,0.632122,-150.032931,0.070339,0.897314,0.001988,2.049785,0.965118,0.776821,0.0,-0.146002,0.741424,0.493734,0.310777,1.426811,-0.004942,0.033333,2.0,0.488432,0.001824
185.31406,464.217859,0.166906,0.632582,153.713644,0.073056,0.967372,0.001438,2.025181,1.020807,0.771989,0.0,-0.148312,0.738995,0.481203,0.328321,1.396986,0.004808,0.033333,2.0,0.51142,0.001824
-2631.635,485.941153,0.150755,0.632636,325.986695,0.071247,0.829193,0.000839,2.028862,1.027595,0.770841,0.0,-0.129253,0.738713,0.478697,0.315789,1.42902,0.002266,-0.033333,2.0,0.514843,0.003649
189.44056,486.634914,0.258391,0.630966,105.813301,0.074623,0.852505,0.005118,2.042543,1.017543,0.780818,0.0,-0.103439,0.745468,0.478697,0.313283,1.441656,0.007045,0.033333,2.0,0.511695,0.001824
-660.788969,463.626834,0.2183,0.627192,-1899.7276,0.075978,0.882055,0.005471,2.042977,1.00487,0.775441,0.0,-0.13953,0.740608,0.486216,0.323308,1.460237,-0.00039,0.033333,2.0,0.514628,0.001824
-197.421944,498.915508,0.168815,0.635898,-162.605943,0.073344,0.881747,0.007801,2.089237,0.986413,0.77812,0.0,-0.14745,0.741389,0.47619,0.318296,1.435869,-0.004559,0.033333,2.0,0.497807,0.001824
-145.139195,468.078753,0.156622,0.63344,-102.962213,0.074249,0.95655,0.010073,2.055434,1.014342,0.776527,0.0,-0.196846,0.737831,0.458647,0.310777,1.434112,-0.007166,0.1,2.0,0.516935,0.001824
-5549.875189,473.126321,0.16349,0.633541,660.14522,0.070804,0.912909,0.000111,2.004316,1.032392,0.775673,0.0,-0.136372,0.743488,0.481203,0.320802,1.414815,0.001126,0.033333,2.0,0.516698,0.001824
-629.191589,484.933961,0.164316,0.62954,-1083.647489,0.071664,0.940293,0.001416,2.050468,1.02307,0.783502,0.0,-0.174531,0.739292,0.471178,0.313283,1.463934,-0.000682,0.033333,2.0,0.52133,0.003649
1123.976331,471.366309,0.164069,0.635119,-213.321471,0.075914,0.93088,0.010061,2.036695,0.971318,0.780825,0.0,-0.152818,0.743884,0.486216,0.315789,1.445518,-0.003487,0.033333,2.0,0.481984,0.001824
-179.008851,500.051613,0.14187,0.632772,129.948019,0.073174,0.945721,0.005252,2.102552,1.007396,0.777627,0.0,-0.174803,0.740706,0.461153,0.308271,1.441036,0.0057,0.033333,2.0,0.507084,0.003649
183.486091,479.960823,0.191629,0.629568,323.548561,0.078698,0.886295,0.008807,2.059298,1.020671,0.778169,0.0,-0.138918,0.743735,0.473684,0.305764,1.485092,0.002299,-0.033333,2.0,0.51311,0.001824
455.411771,475.072373,0.254223,0.631956,-400.085309,0.073654,0.907883,0.010902,2.058377,0.965737,0.779244,0.0,-0.125407,0.738925,0.491228,0.303258,1.392832,-0.001847,0.033333,2.0,0.488846,0.001824
-714.771621,502.13298,0.118525,0.627423,-56.367431,0.073155,0.947294,0.006468,2.026254,0.980513,0.77798,0.0,-0.165852,0.74212,0.478697,0.333333,1.43544,-0.013166,0.033333,2.0,0.504352,0.001824
-525.398755,447.197823,0.18008,0.628806,163.268326,0.07536,0.966783,0.010627,2.04158,0.991731,0.779485,0.0,-0.189769,0.740718,0.491228,0.320802,1.450515,0.004537,0.033333,2.0,0.501345,0.001824
-440.844166,481.017945,0.180296,0.631237,-109.281219,0.072776,0.882502,0.002061,2.059108,0.969265,0.778579,0.0,-0.151649,0.743648,0.491228,0.323308,1.43437,-0.006805,-0.033333,2.0,0.494447,0.001824
198.404405,494.227402,0.223806,0.628442,-152.405347,0.073846,0.900109,0.008025,2.074743,1.009208,0.774819,0.0,-0.152642,0.741047,0.483709,0.315789,1.423233,-0.004862,0.033333,2.0,0.505823,0.001824
84.143991,484.014603,0.15739,0.628145,119.728324,0.073324,0.882687,0.009014,2.063521,1.005187,0.778547,0.0,-0.156251,0.737776,0.478697,0.310777,1.450185,0.006162,0.033333,2.0,0.498413,0.001824
318.624001,506.30538,0.124132,0.6288,811.049655,0.07422,0.906775,0.000433,2.062561,1.003458,0.781138,0.0,-0.163818,0.742258,0.488722,0.333333,1.415858,0.000915,0.033333,2.0,0.496412,0.001824
-267.474002,514.400841,0.188929,0.631979,669.568555,0.073614,0.924535,0.002555,2.018863,0.99929,0.773489,0.0,-0.171398,0.74246,0.463659,0.323308,1.427356,0.001109,-0.033333,2.0,0.493227,0.001824
582.572992,444.600248,0.20664,0.630916,-357.752154,0.074635,0.812865,-0.001337,2.08268,1.006858,0.776505,0.0,-0.133489,0.745694,0.498747,0.315789,1.492752,-0.002084,0.033333,2.0,0.516896,0.001824
-264.529432,489.840543,0.217058,0.630736,153.903801,0.075924,0.954689,0.010532,2.014547,1.018009,0.768424,0.0,-0.152105,0.745363,0.473684,0.310777,1.461332,0.004843,0.033333,2.0,0.51264,0.001824
-320.945905,474.504972,0.268948,0.627882,-238.270985,0.072521,0.906411,0.003345,2.022191,0.984312,0.77743,0.0,-0.141523,0.741384,0.47619,0.318296,1.480835,-0.003112,0.033333,2.0,0.500302,0.001824
114.029429,429.093283,0.144804,0.629271,366.429615,0.075989,0.918992,0.003221,1.986926,0.969977,0.770618,0.0,-0.158141,0.735775,0.491228,0.315789,1.419209,0.002008,0.033333,2.0,0.485755,0.001824
209.00439,531.046991,0.290669,0.628928,228.010013,0.076534,0.964206,0.01294,2.021849,1.043291,0.775311,0.002519,-0.179959,0.744683,0.478697,0.310777,1.488544,0.003266,0.033333,2.0,0.510967,0.001824
167.5073,470.054017,0.196685,0.633062,116.067577,0.075322,0.811092,0.004848,2.104206,0.961048,0.781453,0.0,-0.133096,0.739349,0.493734,0.320802,1.438677,0.00637,0.033333,2.0,0.482437,0.001824
109.940517,481.192081,0.165952,0.631607,346.294879,0.075414,0.933244,0.008249,2.055079,1.016449,0.779039,0.0,-0.142144,0.749185,0.47619,0.308271,1.464565,0.002163,-0.033333,2.0,0.513416,0.003649
409.864748,467.770448,0.206675,0.634838,131.994515,0.072094,0.802519,-0.004245,2.056401,1.019355,0.78071,0.0,-0.130137,0.743274,0.478697,0.328321,1.445967,0.005631,0.033333,2.0,0.512524,0.001824
274.85919,491.473007,0.214314,0.633865,557.214326,0.071682,0.802863,-6.7e-05,2.061786,0.942538,0.779799,0.0,-0.124849,0.736962,0.486216,0.325815,1.435371,0.001323,0.033333,2.0,0.483374,0.003649
216.138052,467.818986,0.212438,0.630023,-96.832715,0.076367,0.865066,0.006829,2.030911,0.99155,0.771227,0.0,-0.156422,0.741677,0.481203,0.315789,1.452456,-0.007659,-0.033333,2.0,0.494894,0.003649
343.498421,494.127547,0.242556,0.624883,-110.665348,0.07426,0.951977,0.005616,2.099222,0.998503,0.777953,0.0,-0.146765,0.740291,0.481203,0.305764,1.443097,-0.006689,-0.033333,2.0,0.507208,0.003649
-347.089838,500.314746,0.289932,0.627166,180.586843,0.072672,0.814057,0.007626,2.100922,0.96137,0.78071,0.0,-0.113519,0.736857,0.483709,0.300752,1.481465,0.00408,0.1,2.0,0.492195,0.001824
371.045495,457.282788,0.211379,0.636199,264.554391,0.075807,0.89897,0.010479,2.065894,0.98902,0.775593,0.0,-0.146415,0.742465,0.486216,0.310777,1.416166,0.002806,-0.033333,2.0,0.499909,0.001824
-333.409306,481.023892,0.154911,0.633358,1327.67073,0.076139,0.932231,0.004073,2.047171,1.033792,0.780301,0.0,-0.153166,0.745491,0.471178,0.318296,1.445578,0.000562,0.033333,2.0,0.517695,0.003649
-77.562679,487.199249,0.181548,0.629334,-100.272193,0.078636,0.867931,0.009486,2.06359,0.980967,0.774046,0.0,-0.123882,0.743888,0.493734,0.315789,1.410469,-0.007419,0.033333,2.0,0.502578,0.001824
483.340997,500.749532,0.083732,0.630245,-368.327877,0.073369,0.926986,0.007645,2.117569,1.009142,0.781394,0.0,-0.150835,0.740658,0.473684,0.323308,1.415603,-0.002011,0.033333,2.0,0.506673,0.001824
