Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Con,Eta_e,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC
-126.262521,555.065759,0.357273,0.642419,-27.257212,0.064733,0.99278,0.05151,1.399156,0.762982,0.795566,0.0,-0.297772,0.604334,0.499029,0.27767,1.26523,-0.022172,0.166667,2.0,0.379887,0.001773
173.648081,581.226612,0.282239,0.638296,-24.409416,0.050561,0.975161,0.048456,1.304179,0.816745,0.799874,0.0,-0.258684,0.618808,0.454369,0.293204,1.284811,-0.025351,-0.033333,2.0,0.41005,0.001773
-124.814911,681.151318,0.410037,0.644412,-22.161053,0.064297,0.920615,0.056412,1.406172,0.799767,0.799176,0.001949,-0.227286,0.627776,0.51068,0.28932,1.282492,-0.028328,0.1,2.0,0.400435,0.001773
-144.55504,528.924443,0.426748,0.642719,-29.260394,0.06229,0.954393,0.057003,1.317867,0.803819,0.79323,0.0,-0.207881,0.625546,0.52233,0.300971,1.256127,-0.021379,0.1,2.0,0.40603,0.001773
-105.474977,597.920664,0.407556,0.640596,-22.648096,0.062803,0.997785,0.060687,1.305636,0.769592,0.794179,0.003899,-0.258923,0.612393,0.495146,0.293204,1.311189,-0.027039,0.033333,2.0,0.380658,0.001773
-141.046409,530.226309,0.18041,0.651417,-15.767203,0.059346,0.92396,0.038886,1.392823,0.797703,0.800903,0.001949,-0.196055,0.60682,0.473786,0.31068,1.230772,-0.038486,0.1,2.0,0.400295,0.001773
-246.011608,591.943223,0.35704,0.645389,-37.112663,0.062038,0.968695,0.04589,1.384877,0.782284,0.801174,0.001949,-0.299853,0.599437,0.487379,0.302913,1.233459,-0.016152,0.166667,2.0,0.388269,0.001773
-123.508504,545.004016,0.270951,0.638838,-15.658615,0.06388,0.981363,0.050951,1.371721,0.75298,0.794651,0.001949,-0.246116,0.608488,0.481553,0.308738,1.258927,-0.03886,0.033333,2.0,0.381252,0.001773
-88.734787,635.382521,0.267388,0.646987,-22.456503,0.05889,0.953183,0.055007,1.386629,0.769054,0.801219,0.003899,-0.232756,0.614692,0.497087,0.293204,1.248419,-0.027373,0.1,2.0,0.386974,0.001773
-156.149101,568.66852,0.171352,0.650232,-21.546419,0.056209,0.862885,0.044201,1.341377,0.806753,0.797022,0.001949,-0.213653,0.617163,0.434951,0.297087,1.271921,-0.028643,0.166667,2.0,0.412489,0.001773
-88.321701,578.37476,0.322776,0.650908,-23.717322,0.059518,0.989235,0.066547,1.357237,0.785227,0.802307,0.001949,-0.237932,0.629686,0.504854,0.287379,1.256948,-0.02655,0.033333,2.0,0.393152,0.001773
-568.521062,519.247937,0.474209,0.646273,-22.250522,0.061243,0.999231,0.044302,1.306878,0.714081,0.801544,0.001949,-0.231416,0.618675,0.545631,0.297087,1.249775,-0.027805,0.033333,2.0,0.352879,0.001773
-74.312637,656.116464,0.335855,0.647449,-15.300803,0.063161,0.929359,0.058862,1.358912,0.775631,0.79978,0.003899,-0.257346,0.604336,0.491262,0.304854,1.234192,-0.039497,-0.166667,2.0,0.387356,0.001773
-125.615567,628.60322,0.15397,0.6507,-23.494556,0.066747,0.92746,0.056376,1.41212,0.771388,0.794689,0.003899,-0.229734,0.615695,0.452427,0.300971,1.240211,-0.026206,0.166667,2.0,0.38751,0.001773
-448.748813,591.785242,0.477216,0.635886,-21.926406,0.070723,0.993267,0.064676,1.368934,0.75157,0.797371,0.0,-0.242043,0.61825,0.528155,0.297087,1.255228,-0.028197,0.166667,2.0,0.367899,0.001773
-79.182396,574.559016,0.299754,0.639649,-24.627015,0.061989,0.996067,0.055742,1.350507,0.787451,0.788705,0.003899,-0.206293,0.623816,0.485437,0.281553,1.317148,-0.025331,0.1,2.0,0.38964,0.001773
-49.121921,583.62689,0.128965,0.649609,-28.216679,0.066879,0.709857,0.064273,1.325623,0.774135,0.804946,0.0,-0.2033,0.612315,0.450485,0.316505,1.249659,-0.0217,0.166667,2.0,0.392957,0.001773
-65.21877,552.238512,0.577497,0.635861,-22.591453,0.061886,0.998867,0.050099,1.388361,0.759893,0.791853,0.003899,-0.138202,0.625932,0.572816,0.28932,1.29846,-0.027707,0.1,2.0,0.382228,0.001773
63.139339,594.939988,0.502564,0.649925,-26.379087,0.058682,0.998698,0.054879,1.390875,0.742533,0.79685,0.0,-0.337664,0.599636,0.514563,0.287379,1.216453,-0.022731,0.033333,2.0,0.390534,0.001773
-112.088289,665.828289,0.157962,0.647778,-36.382093,0.058833,0.862511,0.049482,1.391125,0.777195,0.795615,0.0,-0.174366,0.619765,0.464078,0.287379,1.281823,-0.017035,0.3,2.0,0.38975,0.001773
110.32131,585.962256,0.442448,0.642866,-58.486279,0.066661,0.992071,0.057776,1.404299,0.753815,0.811439,0.003899,-0.299187,0.622272,0.518447,0.287379,1.248463,-0.01064,0.233333,2.0,0.372531,0.001773
146.404857,529.930753,0.337888,0.637406,-86.238845,0.069241,0.998491,0.066213,1.362044,0.754402,0.797271,0.001949,-0.293259,0.61692,0.497087,0.295146,1.265211,-0.007154,0.033333,2.0,0.380186,0.001773
-71.323492,593.205432,0.589197,0.641754,-18.41498,0.065937,0.981165,0.055256,1.419414,0.812296,0.798612,0.0,-0.307216,0.627623,0.532039,0.293204,1.305999,-0.034082,0.233333,2.0,0.401919,0.001773
-47.469323,638.704837,0.196869,0.65894,-17.155279,0.061843,0.864756,0.056367,1.37616,0.807736,0.809888,0.001949,-0.236518,0.614278,0.44466,0.295146,1.24605,-0.035807,0.233333,2.0,0.403092,0.001773
-90.924272,578.70644,0.444004,0.634689,-24.765274,0.066227,0.988639,0.058379,1.389191,0.780639,0.809776,0.0,-0.284081,0.615193,0.497087,0.297087,1.270113,-0.024841,0.033333,2.0,0.392685,0.001773
-109.225456,638.916551,0.234192,0.649278,-33.852072,0.067005,0.854497,0.066659,1.397609,0.791023,0.790347,0.001949,-0.143558,0.612848,0.485437,0.300971,1.24954,-0.018104,0.166667,2.0,0.399498,0.001773
-247.743913,551.475502,0.202447,0.648182,-59.320039,0.065631,0.855624,0.064994,1.392533,0.803306,0.793635,0.001949,-0.190721,0.628556,0.471845,0.295146,1.30075,-0.010596,0.233333,2.0,0.401661,0.001773
-122.932545,630.580932,0.143426,0.653997,-25.99005,0.065886,0.957326,0.046344,1.431499,0.804103,0.804449,0.0,-0.243717,0.607494,0.44466,0.302913,1.279256,-0.023374,0.1,2.0,0.403255,0.001773
