Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Con,Eta_e,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC
-72.724248,231.528575,0.343235,0.74381,358.392032,0.090671,0.914372,-0.083038,0.791652,0.814683,0.703357,0.004292,0.356542,0.583476,0.433761,0.311966,1.123496,0.001628,-0.166667,3.0,0.406181,0.009886
-96.646745,299.565958,0.628236,0.733747,33.112296,0.093815,0.999929,-0.070787,0.911433,0.82263,0.675434,0.002146,0.496417,0.604772,0.514957,0.320513,1.163532,0.018264,0.033333,2.0,0.400848,0.009886
-65.881934,262.234986,0.35599,0.735995,17.777324,0.084212,0.999999,-0.057064,0.788063,0.828675,0.686938,0.006438,0.38831,0.628374,0.478632,0.307692,1.222557,0.035347,-0.166667,2.0,0.409138,0.009886
-56.891079,246.093498,0.810519,0.723686,-30.771939,0.093336,0.989692,-0.034509,0.777652,0.797859,0.741892,0.008584,0.448359,0.592584,0.514957,0.326923,1.134618,-0.019257,0.1,3.0,0.39994,0.009886
81.459783,285.949049,0.463992,0.717975,17.110349,0.086527,0.951559,-0.075454,0.760111,0.808316,0.753922,0.002146,0.320789,0.617104,0.480769,0.307692,1.192148,0.036066,-0.366667,3.0,0.411549,0.009886
-54.964695,351.763386,1.598579,0.720718,19.497921,0.087158,1.0,-0.045809,0.82469,0.785688,0.696046,0.006438,0.860028,0.65211,0.547009,0.309829,1.26327,0.033445,0.166667,3.0,0.376072,0.009886
-30.399978,252.304925,0.323991,0.755081,30.924333,0.09212,1.0,-0.046292,0.824564,0.872721,0.74736,0.004292,0.498137,0.612368,0.438034,0.316239,1.179016,0.019802,0.033333,3.0,0.428982,0.009886
-57.226171,303.574756,0.615174,0.721789,23.057443,0.097479,1.0,-0.038254,0.801007,0.716116,0.686539,0.002146,0.538084,0.634136,0.547009,0.309829,1.296043,0.027502,-0.166667,3.0,0.36049,0.009886
-81.943354,275.141241,1.015096,0.709288,72.54761,0.073401,0.999477,-0.030982,0.777532,0.819795,0.646207,0.012876,0.507451,0.621548,0.482906,0.301282,1.275189,0.008567,-0.233333,3.0,0.404778,0.009886
-454.359923,319.961862,2.282048,0.719207,18.516362,0.078348,0.999996,-0.024443,0.794564,0.848051,0.706688,0.002146,0.78708,0.624006,0.581197,0.311966,1.098332,0.0337,-0.233333,3.0,0.415982,0.009886
-304.910083,241.541804,0.241029,0.741374,15.989911,0.101094,0.998439,-0.121192,0.748032,0.777355,0.721044,0.006438,0.3036,0.594624,0.5,0.32265,1.168951,0.037187,-0.033333,3.0,0.386973,0.009886
