Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Con,Eta_e,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC
-29.83461,234.829999,-0.80251,0.706571,-29.997483,0.063181,0.999681,0.014769,4.571911,1.228357,0.901298,0.0,0.129529,0.822431,0.283401,0.360324,1.436601,-0.027417,-0.1,2.0,0.598745,0.012236
-25.505271,245.718311,-0.574117,0.706113,-53.41911,0.079472,0.997994,-0.016897,4.549458,1.295902,0.901649,0.0,0.137782,0.835276,0.368421,0.368421,1.468844,-0.015636,-0.1,2.0,0.654195,0.012236
-55.505153,259.615083,-0.495588,0.687824,-30.571383,0.076928,0.999718,0.010741,4.748884,1.268248,0.895689,0.0,0.295757,0.82904,0.327935,0.356275,1.491132,-0.027118,-0.1,2.0,0.642047,0.009789
-31.673275,251.010803,-0.711851,0.707264,-53.3295,0.062419,0.999984,0.010099,4.913704,1.287549,0.901346,0.0,0.185976,0.815083,0.295547,0.388664,1.38997,-0.015284,-0.1,2.0,0.63049,0.007341
-18.496385,262.425515,-0.797088,0.715831,-47.061434,0.054874,1.0,-0.026839,4.499292,1.314144,0.898538,0.0,0.257992,0.851316,0.279352,0.364372,1.533727,-0.018089,-0.233333,1.0,0.646835,0.012236
-18.174456,250.551554,-0.912236,0.731807,129.333467,0.082102,1.0,0.037769,4.568902,1.436286,0.899339,0.0,0.225546,0.863088,0.259109,0.392713,1.500917,0.006673,-0.3,2.0,0.681919,0.012236
-85.552024,248.945083,-0.596957,0.709717,-47.196569,0.083752,0.999991,-0.003289,4.551756,1.315009,0.900589,0.0,0.289814,0.829658,0.275304,0.360324,1.497807,-0.017579,-0.1,2.0,0.649205,0.012236
-26.124926,239.262364,-0.820721,0.710408,-117.915186,0.071202,0.999992,-0.020646,4.614017,1.286691,0.903813,0.0,0.157766,0.808908,0.287449,0.376518,1.480869,-0.00686,-0.1,2.0,0.628917,0.009789
-28.78495,237.812684,-0.767162,0.729537,90.067075,0.069443,1.0,-0.023566,4.67405,1.343061,0.903317,0.0,0.31599,0.830929,0.299595,0.37247,1.385566,0.009226,-0.1,2.0,0.662718,0.009789
7640.137221,259.752495,-0.825722,0.711655,118.216393,0.074929,0.999971,0.008986,4.681763,1.295463,0.900059,0.0,0.115867,0.846276,0.279352,0.37247,1.472109,0.007159,-0.033333,2.0,0.652295,0.009789
