Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Con,Eta_e,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC
-16.260507,559.031332,11.994166,0.497149,-4.401796,0.085519,1.0,-0.03821,2.220525,0.621607,0.720802,0.0,2.760555,0.704124,0.795337,0.15544,1.293938,-0.159963,-0.1,1.0,0.284571,0.003642
-16.186248,532.724879,12.591596,0.50233,-4.322353,0.086209,1.0,-0.038732,2.189906,0.577164,0.722424,0.0,2.822024,0.702009,0.80829,0.145078,1.300926,-0.162414,-0.033333,1.0,0.274087,0.003642
-15.554318,533.394546,11.459593,0.494979,-4.422642,0.086322,1.0,-0.042188,2.253813,0.589475,0.719734,0.0,2.731788,0.706149,0.784974,0.15544,1.296877,-0.159667,-0.033333,1.0,0.281864,0.003642
-15.971362,544.315915,12.38231,0.499652,-4.25474,0.083618,1.0,-0.038117,2.187355,0.592356,0.720048,0.0,2.789035,0.706282,0.795337,0.15544,1.300069,-0.165999,-0.166667,1.0,0.272631,0.003642
-15.810909,542.871998,11.681342,0.498684,-4.291919,0.08284,1.0,-0.038801,2.260671,0.590938,0.719485,0.0,2.735036,0.694723,0.792746,0.147668,1.25903,-0.161868,-0.1,1.0,0.277004,0.003642
-16.373794,558.526704,12.596812,0.503682,-4.284678,0.084253,1.0,-0.039993,2.252559,0.580302,0.720605,0.0,2.8053,0.706461,0.805699,0.15544,1.278185,-0.164881,-0.033333,1.0,0.273612,0.003642
-15.642302,563.366201,12.351318,0.494068,-4.343396,0.085896,1.0,-0.040331,2.221576,0.605329,0.717731,0.0,2.812713,0.705424,0.816062,0.147668,1.309763,-0.162413,-0.1,1.0,0.2646,0.003642
-16.636811,554.8103,12.481834,0.50126,-4.51035,0.08922,1.0,-0.037201,2.233005,0.614244,0.72369,0.0,2.793124,0.708943,0.797927,0.163212,1.284685,-0.157181,-0.033333,1.0,0.272869,0.003642
-15.277536,537.099827,11.093927,0.511469,-4.295098,0.087618,1.0,-0.036263,2.263525,0.61047,0.722575,0.0,2.664841,0.695575,0.790155,0.150259,1.292283,-0.161946,-0.233333,1.0,0.275515,0.003642
-15.894843,527.564138,11.913977,0.498866,-4.311863,0.086239,1.0,-0.042312,2.188253,0.628121,0.720746,0.0,2.745119,0.701468,0.797927,0.147668,1.279736,-0.162683,-0.166667,1.0,0.276445,0.003642
-16.824418,525.403781,12.961177,0.499372,-4.509432,0.08889,1.0,-0.042242,2.165624,0.577159,0.721178,0.0,2.846463,0.713813,0.810881,0.150259,1.320035,-0.158293,-0.1,1.0,0.277053,0.003642
-15.866832,538.021186,11.743399,0.498465,-4.300229,0.088153,1.0,-0.041793,2.180282,0.586769,0.720442,0.0,2.735474,0.70139,0.803109,0.150259,1.274963,-0.163105,-0.033333,1.0,0.278531,0.003642
-16.161915,560.519116,11.651687,0.502315,-4.423187,0.086117,1.0,-0.038967,2.230893,0.570334,0.726392,0.0,2.732457,0.703882,0.797927,0.150259,1.287937,-0.159135,-0.1,1.0,0.269646,0.003642
